"State","Date","fips","Cases","Cases_daily","time","Cases_log","Cases_sum","n","coef.intercept","Exp_rate"
"Alabama",2020-03-20,"01",106,28,1,4.66343909411207,4241,27,NA,NA
"Alabama",2020-03-21,"01",131,25,2,4.87519732320115,4241,27,NA,NA
"Alabama",2020-03-22,"01",157,26,3,5.05624580534831,4241,27,NA,NA
"Alabama",2020-03-23,"01",196,39,4,5.27811465923052,4241,27,NA,NA
"Alabama",2020-03-24,"01",242,46,5,5.48893772615669,4241,27,NA,NA
"Alabama",2020-03-25,"01",386,144,6,5.95583736946483,4241,27,NA,NA
"Alabama",2020-03-26,"01",538,152,7,6.28785856016178,4241,27,4.30548573231292,26.6686800410175
"Alabama",2020-03-27,"01",639,101,8,6.45990445437753,4241,27,4.21903698302897,28.1966771906801
"Alabama",2020-03-28,"01",720,81,9,6.5792512120101,4241,27,4.21555354576043,27.6125594438733
"Alabama",2020-03-29,"01",830,110,10,6.72142570079064,4241,27,4.35653315927389,25.052239933214
"Alabama",2020-03-30,"01",947,117,11,6.85329909318608,4241,27,4.64502961213877,21.1273336271004
"Alabama",2020-03-31,"01",999,52,12,6.90675477864855,4241,27,5.17324763623008,15.1612662143317
"Alabama",2020-04-01,"01",1106,107,13,7.00850518208228,4241,27,5.49896828465117,11.8917442695697
"Alabama",2020-04-02,"01",1270,164,14,7.14677217945264,4241,27,5.59124315273886,11.0872864043842
"Alabama",2020-04-03,"01",1535,265,15,7.3362856600213,4241,27,5.53161237649003,11.7035799651921
"Alabama",2020-04-04,"01",1633,98,16,7.39817409297047,4241,27,5.55049294662235,11.5579846821929
"Alabama",2020-04-05,"01",1841,208,17,7.51806418123308,4241,27,5.51437926715156,11.803265609728
"Alabama",2020-04-06,"01",2006,165,18,7.60389796852188,4241,27,5.47302049821891,12.0069624337122
"Alabama",2020-04-07,"01",2197,191,19,7.69484807238461,4241,27,5.58375889366246,11.2680670366331
"Alabama",2020-04-08,"01",2499,302,20,7.82364593083495,4241,27,5.70992011130181,10.5481069800893
"Alabama",2020-04-09,"01",2838,339,21,7.95085485771999,4241,27,5.77204464911309,10.255125571345
"Alabama",2020-04-10,"01",3008,170,22,8.00903068506973,4241,27,5.73407072910106,10.421068184231
"Alabama",2020-04-11,"01",3262,254,23,8.09009578318096,4241,27,5.82551462251022,9.93702508669544
"Alabama",2020-04-12,"01",3583,321,24,8.18395571730495,4241,27,5.87100693551277,9.70019079348822
"Alabama",2020-04-13,"01",3805,222,25,8.24407127029579,4241,27,6.02929811572159,8.95546461476613
"Alabama",2020-04-14,"01",3953,148,26,8.28223006329669,4241,27,6.32792862039484,7.63253662418582
"Alabama",2020-04-15,"01",4241,288,27,8.35255436947459,4241,27,6.52570801047819,6.805259924402
"Alaska",2020-03-28,"02",102,17,1,4.62497281328427,291,19,NA,NA
"Alaska",2020-03-29,"02",114,12,2,4.7361984483945,291,19,NA,NA
"Alaska",2020-03-30,"02",119,5,3,4.77912349311153,291,19,NA,NA
"Alaska",2020-03-31,"02",133,14,4,4.89034912822175,291,19,NA,NA
"Alaska",2020-04-01,"02",143,10,5,4.96284463025991,291,19,NA,NA
"Alaska",2020-04-02,"02",146,3,6,4.98360662170834,291,19,NA,NA
"Alaska",2020-04-03,"02",156,10,7,5.04985600724954,291,19,4.58196629665114,6.97566809168522
"Alaska",2020-04-04,"02",169,13,8,5.12989871492307,291,19,4.60887112745475,6.48508329052976
"Alaska",2020-04-05,"02",185,16,9,5.22035582507832,291,19,4.59733187158764,6.74931266533093
"Alaska",2020-04-06,"02",189,4,10,5.24174701505964,291,19,4.6395026702302,6.12681479773301
"Alaska",2020-04-07,"02",211,22,11,5.35185813347607,291,19,4.60464638848502,6.62078969349959
"Alaska",2020-04-08,"02",224,13,12,5.41164605185504,291,19,4.55557628179044,7.14275301082051
"Alaska",2020-04-09,"02",233,9,13,5.4510384535657,291,19,4.58714848545457,6.78051543289345
"Alaska",2020-04-10,"02",244,11,14,5.4971682252932,291,19,4.6482517358328,6.18954580314477
"Alaska",2020-04-11,"02",255,11,15,5.54126354515843,291,19,4.7138342210136,5.61694964570378
"Alaska",2020-04-12,"02",270,15,16,5.59842195899838,291,19,4.72949720577063,5.47984938792529
"Alaska",2020-04-13,"02",275,5,17,5.61677109766657,291,19,4.86619459591931,4.49469928018185
"Alaska",2020-04-14,"02",283,8,18,5.64544689764324,291,19,4.92982862613034,4.05043414025542
"Alaska",2020-04-15,"02",291,8,19,5.67332326717149,291,19,4.98110801334209,3.71042620723428
"Arizona",2020-03-21,"04",104,34,1,4.64439089914137,3962,26,NA,NA
"Arizona",2020-03-22,"04",153,49,2,5.03043792139244,3962,26,NA,NA
"Arizona",2020-03-23,"04",234,81,3,5.4553211153577,3962,26,NA,NA
"Arizona",2020-03-24,"04",326,92,4,5.78689738136671,3962,26,NA,NA
"Arizona",2020-03-25,"04",402,76,5,5.99645208861902,3962,26,NA,NA
"Arizona",2020-03-26,"04",508,106,6,6.23048144757848,3962,26,NA,NA
"Arizona",2020-03-27,"04",665,157,7,6.49978704065585,3962,26,4.44805163484782,30.3835944649174
"Arizona",2020-03-28,"04",773,108,8,6.65027904858742,3962,26,4.62994384579519,26.4001403514037
"Arizona",2020-03-29,"04",929,156,9,6.83410873881384,3962,26,4.84337644652986,22.7373612744524
"Arizona",2020-03-30,"04",1169,240,10,7.06390396147207,3962,26,4.95588301201325,21.1647522918381
"Arizona",2020-03-31,"04",1298,129,11,7.16857989726403,3962,26,5.05835598846148,19.705536256715
"Arizona",2020-04-01,"04",1413,115,12,7.25347038268453,3962,26,5.26503018519474,17.2149193979255
"Arizona",2020-04-02,"04",1600,187,13,7.37775890822787,3962,26,5.48728062918635,14.9098908191445
"Arizona",2020-04-03,"04",1769,169,14,7.47816969415979,3962,26,5.64068417358944,13.4304953455629
"Arizona",2020-04-04,"04",2019,250,15,7.61035761831284,3962,26,5.81242540806087,12.0230611244153
"Arizona",2020-04-05,"04",2269,250,16,7.72709448477984,3962,26,5.94448562793405,11.0636654410578
"Arizona",2020-04-06,"04",2465,196,17,7.80994708647679,3962,26,5.93736548360102,11.0855302925495
"Arizona",2020-04-07,"04",2575,110,18,7.85360481309784,3962,26,6.02628733484252,10.4060872798494
"Arizona",2020-04-08,"04",2726,151,19,7.91059061225648,3962,26,6.22452913497257,9.10341006473524
"Arizona",2020-04-09,"04",3018,292,20,8.01234963932779,3962,26,6.35738147194954,8.31970054181898
"Arizona",2020-04-10,"04",3112,94,21,8.04302088529828,3962,26,6.58654553975802,7.03265584225692
"Arizona",2020-04-11,"04",3393,281,22,8.12946976478423,3962,26,6.68342721893746,6.54292237102184
"Arizona",2020-04-12,"04",3539,146,23,8.17159948034546,3962,26,6.72642792735482,6.3182762786451
"Arizona",2020-04-13,"04",3702,163,24,8.21662849313344,3962,26,6.752023850586,6.17217464907586
"Arizona",2020-04-14,"04",3806,104,25,8.24433404785609,3962,26,6.89528236728378,5.49416646234762
"Arizona",2020-04-15,"04",3962,156,26,8.2845042272585,3962,26,7.0844251198252,4.66517434734621
"Arkansas",2020-03-21,"05",118,18,1,4.77068462446567,1599,26,NA,NA
"Arkansas",2020-03-22,"05",165,47,2,5.10594547390058,1599,26,NA,NA
"Arkansas",2020-03-23,"05",201,36,3,5.30330490805908,1599,26,NA,NA
"Arkansas",2020-03-24,"05",232,31,4,5.44673737166631,1599,26,NA,NA
"Arkansas",2020-03-25,"05",308,76,5,5.73009978297357,1599,26,NA,NA
"Arkansas",2020-03-26,"05",351,43,6,5.86078622346587,1599,26,NA,NA
"Arkansas",2020-03-27,"05",386,35,7,5.95583736946483,1599,26,4.66878016356476,19.614052175152
"Arkansas",2020-03-28,"05",409,23,8,6.0137151560428,1599,26,4.83762825132512,15.8657957894205
"Arkansas",2020-03-29,"05",449,40,9,6.10702288774225,1599,26,4.96589043685343,13.4673110510492
"Arkansas",2020-03-30,"05",508,59,10,6.23048144757848,1599,26,5.09188104881359,11.6357406066101
"Arkansas",2020-03-31,"05",564,56,11,6.33505425149806,1599,26,5.2603026249448,9.66228347170047
"Arkansas",2020-04-01,"05",624,60,12,6.43615036836943,1599,26,5.26587708585112,9.6474731796887
"Arkansas",2020-04-02,"05",683,59,13,6.52649485957079,1599,26,5.23465295620704,9.94597949545335
"Arkansas",2020-04-03,"05",738,55,14,6.60394382460047,1599,26,5.21582727179563,10.0546388218609
"Arkansas",2020-04-04,"05",743,5,15,6.61069604471776,1599,26,5.35738416927822,8.74780297515442
"Arkansas",2020-04-05,"05",853,110,16,6.74875954749168,1599,26,5.443052640142,8.12111193717873
"Arkansas",2020-04-06,"05",927,74,17,6.83195356556585,1599,26,5.48466303746172,7.85756244855308
"Arkansas",2020-04-07,"05",997,70,18,6.90475076996184,1599,26,5.50814217236545,7.71976549878064
"Arkansas",2020-04-08,"05",1077,80,19,6.98193467715639,1599,26,5.49310997596489,7.81853880117011
"Arkansas",2020-04-09,"05",1146,69,20,7.04403289727469,1599,26,5.47092065413512,7.9240560906074
"Arkansas",2020-04-10,"05",1202,56,21,7.09174211509515,1599,26,5.48391035956629,7.79880722245978
"Arkansas",2020-04-11,"05",1228,26,22,7.11314210870709,1599,26,5.77061183695268,6.25716753577739
"Arkansas",2020-04-12,"05",1280,52,23,7.15461535691366,1599,26,5.94989914904445,5.33776960525965
"Arkansas",2020-04-13,"05",1475,195,24,7.29641326877392,1599,26,5.89171090573155,5.67663595494004
"Arkansas",2020-04-14,"05",1498,23,25,7.31188616407716,1599,26,5.91822573390168,5.56245873421187
"Arkansas",2020-04-15,"05",1599,101,26,7.37713371283395,1599,26,5.86535868880011,5.79593465967382
"California",2020-03-08,"06",112,12,1,4.71849887129509,27107,39,NA,NA
"California",2020-03-09,"06",172,60,2,5.14749447681345,27107,39,NA,NA
"California",2020-03-10,"06",179,7,3,5.18738580584075,27107,39,NA,NA
"California",2020-03-11,"06",202,23,4,5.30826769740121,27107,39,NA,NA
