"State","Date","fips","Cases","Cases_daily","time","Cases_log","Cases_sum","n","coef.intercept","Exp_rate"
"Alabama",2020-03-20,"01",106,28,1,4.66343909411207,3953,26,NA,NA
"Alabama",2020-03-21,"01",131,25,2,4.87519732320115,3953,26,NA,NA
"Alabama",2020-03-22,"01",157,26,3,5.05624580534831,3953,26,NA,NA
"Alabama",2020-03-23,"01",196,39,4,5.27811465923052,3953,26,NA,NA
"Alabama",2020-03-24,"01",242,46,5,5.48893772615669,3953,26,NA,NA
"Alabama",2020-03-25,"01",386,144,6,5.95583736946483,3953,26,NA,NA
"Alabama",2020-03-26,"01",538,152,7,6.28785856016178,3953,26,4.30548573231292,26.6686800410175
"Alabama",2020-03-27,"01",639,101,8,6.45990445437753,3953,26,4.21903698302897,28.1966771906801
"Alabama",2020-03-28,"01",720,81,9,6.5792512120101,3953,26,4.21555354576043,27.6125594438733
"Alabama",2020-03-29,"01",830,110,10,6.72142570079064,3953,26,4.35653315927389,25.052239933214
"Alabama",2020-03-30,"01",947,117,11,6.85329909318608,3953,26,4.64502961213877,21.1273336271004
"Alabama",2020-03-31,"01",999,52,12,6.90675477864855,3953,26,5.17324763623008,15.1612662143317
"Alabama",2020-04-01,"01",1106,107,13,7.00850518208228,3953,26,5.49896828465117,11.8917442695697
"Alabama",2020-04-02,"01",1270,164,14,7.14677217945264,3953,26,5.59124315273886,11.0872864043842
"Alabama",2020-04-03,"01",1535,265,15,7.3362856600213,3953,26,5.53161237649003,11.7035799651921
"Alabama",2020-04-04,"01",1633,98,16,7.39817409297047,3953,26,5.55049294662235,11.5579846821929
"Alabama",2020-04-05,"01",1841,208,17,7.51806418123308,3953,26,5.51437926715156,11.803265609728
"Alabama",2020-04-06,"01",2006,165,18,7.60389796852188,3953,26,5.47302049821891,12.0069624337122
"Alabama",2020-04-07,"01",2197,191,19,7.69484807238461,3953,26,5.58375889366246,11.2680670366331
"Alabama",2020-04-08,"01",2499,302,20,7.82364593083495,3953,26,5.70992011130181,10.5481069800893
"Alabama",2020-04-09,"01",2838,339,21,7.95085485771999,3953,26,5.77204464911309,10.255125571345
"Alabama",2020-04-10,"01",3008,170,22,8.00903068506973,3953,26,5.73407072910106,10.421068184231
"Alabama",2020-04-11,"01",3262,254,23,8.09009578318096,3953,26,5.82551462251022,9.93702508669544
"Alabama",2020-04-12,"01",3583,321,24,8.18395571730495,3953,26,5.87100693551277,9.70019079348822
"Alabama",2020-04-13,"01",3805,222,25,8.24407127029579,3953,26,6.02929811572159,8.95546461476613
"Alabama",2020-04-14,"01",3953,148,26,8.28223006329669,3953,26,6.32792862039484,7.63253662418582
"Alaska",2020-03-28,"02",102,17,1,4.62497281328427,283,18,NA,NA
"Alaska",2020-03-29,"02",114,12,2,4.7361984483945,283,18,NA,NA
"Alaska",2020-03-30,"02",119,5,3,4.77912349311153,283,18,NA,NA
"Alaska",2020-03-31,"02",133,14,4,4.89034912822175,283,18,NA,NA
"Alaska",2020-04-01,"02",143,10,5,4.96284463025991,283,18,NA,NA
"Alaska",2020-04-02,"02",146,3,6,4.98360662170834,283,18,NA,NA
"Alaska",2020-04-03,"02",156,10,7,5.04985600724954,283,18,4.58196629665114,6.97566809168522
"Alaska",2020-04-04,"02",169,13,8,5.12989871492307,283,18,4.60887112745475,6.48508329052976
"Alaska",2020-04-05,"02",185,16,9,5.22035582507832,283,18,4.59733187158764,6.74931266533093
"Alaska",2020-04-06,"02",189,4,10,5.24174701505964,283,18,4.6395026702302,6.12681479773301
"Alaska",2020-04-07,"02",211,22,11,5.35185813347607,283,18,4.60464638848502,6.62078969349959
"Alaska",2020-04-08,"02",224,13,12,5.41164605185504,283,18,4.55557628179044,7.14275301082051
