Category,Rate,Hotwords
anger,0.1818,"[('curfew', 78), ('janta', 53), ('support', 48), ('fight', 45), ('pm', 34), ('pledge', 29), ('citizen', 29), ('respond', 28), ('responsible', 27), ('work', 26), ('safe', 23), ('stay', 23), ('life', 21), ('good', 20), ('friend', 18), ('spread', 17), ('pandemic', 16), ('health', 16), ('crisis', 16), ('love', 15)]"
anticipation,0.0,[]
disgust,0.2201,"[('test', 27), ('pandemic', 27), ('dont', 26), ('case', 25), ('death', 25), ('spread', 24), ('china', 23), ('work', 19), ('country', 18), ('chinese', 17), ('crisis', 17), ('call', 17), ('news', 16), ('stay', 16), ('day', 16), ('american', 15), ('life', 14), ('fuck', 13), ('action', 13), ('government', 13)]"
fear,0.0,[]
confident,0.0349,"[('death', 12), ('case', 12), ('test', 7), ('pandemic', 7), ('infect', 6), ('scar', 5), ('total', 5), ('number', 4), ('week', 4), ('health', 4), ('italy', 4), ('hospital', 4), ('worry', 4), ('situation', 3), ('social', 3), ('population', 3), ('track', 3), ('feel', 3), ('today', 3), ('risk', 3)]"
empathetic,0.0718,"[('death', 12), ('pandemic', 10), ('hospital', 10), ('case', 10), ('test', 9), ('dont', 9), ('health', 8), ('life', 8), ('die', 7), ('food', 7), ('sad', 7), ('crisis', 7), ('news', 6), ('infect', 6), ('job', 6), ('young', 6), ('kill', 6), ('pay', 5), ('week', 5), ('scar', 5)]"
optimism,0.2474,"[('test', 37), ('case', 30), ('death', 30), ('dont', 27), ('pandemic', 26), ('spread', 25), ('china', 25), ('work', 20), ('crisis', 19), ('chinese', 18), ('call', 18), ('kill', 16), ('news', 15), ('stay', 15), ('positive', 15), ('country', 15), ('american', 14), ('start', 14), ('day', 14), ('week', 13)]"
pessimism,0.0029,"[('discover', 2), ('strain', 2), ('ready', 1), ('poster', 1), ('promoter', 1), ('club', 1), ('new', 1), ('survive', 1), ('lb', 1), ('agenda', 1), ('planning', 1), ('gain', 1), ('hn', 1), ('discus', 1)]"
sadness,0.2325,"[('curfew', 79), ('janta', 54), ('support', 45), ('fight', 44), ('pm', 36), ('respond', 29), ('citizen', 29), ('pledge', 29), ('responsible', 27), ('stay', 24), ('work', 23), ('safe', 23), ('test', 22), ('good', 21), ('life', 21), ('spread', 20), ('crisis', 19), ('pandemic', 18), ('health', 18), ('friend', 18)]"
surprise,0.0062,"[('love', 5), ('safe', 4), ('god', 3), ('good', 3), ('bless', 2), ('isolation', 2), ('talent', 2), ('family', 2), ('pm', 2), ('kiss', 2), ('send', 2), ('knowledge', 1), ('celebrate', 1), ('fly', 1), ('pictwittercomamqisso', 1), ('pictwittercomojxbclvqht', 1), ('blessing', 1), ('birthday', 1), ('nurse', 1), ('lifetime', 1)]"
trust,0.0024,"[('sad', 2), ('scar', 2), ('evidence', 1), ('shelf', 1), ('israel', 1), ('twitter', 1), ('disappointed', 1), ('affair', 1), ('negative', 1), ('fellow', 1), ('buy', 1), ('test', 1), ('mind', 1), ('victim', 1), ('trump', 1), ('lead', 1), ('survivor', 1), ('pictwittercomnjagfh', 1), ('sadly', 1), ('leaf', 1)]"
