Category,Rate,Hotwords
anger,0.2819,"[('deliver', 10728), ('official', 5826), ('ill', 5651), ('support', 5604), ('copy', 5321), ('signing', 5318), ('representative', 5303), ('senator', 4897), ('death', 4632), ('case', 3198), ('die', 2889), ('dont', 2828), ('test', 2741), ('china', 2199), ('pandemic', 1870), ('news', 1735), ('spread', 1665), ('work', 1615), ('hospital', 1588), ('fuck', 1563)]"
anticipation,0.0052,"[('test', 158), ('case', 67), ('positive', 60), ('start', 42), ('gonna', 36), ('news', 33), ('watch', 32), ('wait', 31), ('post', 27), ('county', 27), ('vaccine', 25), ('video', 24), ('expect', 23), ('confirm', 22), ('patient', 22), ('plan', 21), ('movie', 21), ('come', 20), ('catch', 20), ('number', 20)]"
disgust,0.1843,"[('test', 1594), ('pandemic', 1575), ('stay', 1528), ('work', 1443), ('case', 1362), ('good', 1324), ('fight', 1301), ('love', 1169), ('update', 1143), ('great', 1138), ('news', 1080), ('life', 1058), ('health', 997), ('safe', 969), ('dont', 954), ('watch', 934), ('patient', 934), ('hope', 865), ('today', 838), ('crisis', 837)]"
fear,0.0472,"[('death', 1639), ('case', 1149), ('test', 972), ('symptom', 743), ('die', 698), ('report', 658), ('flu', 586), ('hospital', 565), ('pandemic', 509), ('number', 459), ('dont', 415), ('bad', 407), ('patient', 395), ('fear', 372), ('news', 360), ('health', 358), ('rate', 349), ('positive', 335), ('confirm', 320), ('sick', 306)]"
confident,0.0036,"[('sad', 253), ('die', 81), ('feel', 74), ('family', 52), ('bad', 51), ('work', 46), ('life', 45), ('dont', 38), ('lose', 36), ('today', 34), ('job', 33), ('friend', 31), ('news', 30), ('heart', 29), ('stay', 29), ('death', 29), ('sick', 28), ('depressed', 24), ('cry', 24), ('ive', 22)]"
empathetic,0.0056,"[('love', 412), ('happy', 109), ('stay', 100), ('great', 92), ('safe', 83), ('hope', 71), ('family', 71), ('life', 62), ('birthday', 60), ('beautiful', 56), ('good', 55), ('amaze', 54), ('music', 51), ('god', 49), ('friend', 48), ('today', 47), ('john', 47), ('bless', 44), ('concert', 43), ('work', 42)]"
optimism,0.0896,"[('die', 2244), ('death', 1748), ('dont', 1060), ('bad', 979), ('test', 920), ('work', 892), ('hospital', 889), ('symptom', 813), ('dy', 775), ('country', 701), ('case', 663), ('family', 643), ('sick', 625), ('life', 618), ('flu', 607), ('feel', 571), ('stay', 571), ('pandemic', 544), ('patient', 523), ('lose', 510)]"
pessimism,0.134,"[('stay', 1478), ('pandemic', 1279), ('good', 1266), ('work', 1253), ('fight', 1217), ('love', 1125), ('great', 1072), ('life', 1035), ('test', 967), ('safe', 967), ('health', 882), ('hope', 837), ('dont', 831), ('support', 824), ('family', 773), ('crisis', 772), ('watch', 747), ('care', 746), ('patient', 730), ('god', 668)]"
sadness,0.2487,"[('deliver', 10741), ('official', 5771), ('support', 5618), ('ill', 5591), ('representative', 5338), ('copy', 5331), ('signing', 5328), ('senator', 4905), ('death', 3612), ('dont', 2651), ('die', 2357), ('test', 2225), ('china', 2029), ('case', 1985), ('pandemic', 1637), ('spread', 1588), ('fuck', 1565), ('president', 1508), ('work', 1451), ('news', 1429)]"
surprise,0.0,[]
trust,0.0,[]
