Category,Rate,Hotwords
Anger,0.2652,"[('test', 2577), ('case', 2523), ('death', 2283), ('dont', 2180), ('die', 1596), ('spread', 1459), ('pandemic', 1457), ('china', 1372), ('country', 1339), ('work', 1266), ('news', 1146), ('bad', 1088), ('fuck', 1023), ('health', 1019), ('hospital', 1017), ('lockdown', 981), ('positive', 972), ('government', 955), ('report', 909), ('number', 909)]"
Anticipation,0.0,[]
Disgust,0.0472,"[('case', 852), ('test', 815), ('death', 802), ('symptom', 490), ('hospital', 409), ('pandemic', 378), ('die', 374), ('patient', 367), ('flu', 364), ('positive', 322), ('dont', 313), ('bad', 306), ('report', 304), ('number', 297), ('fear', 290), ('health', 273), ('spread', 272), ('confirm', 266), ('news', 246), ('rate', 234)]"
Fear,0.0,[]
Confident,0.0059,"[('test', 153), ('positive', 86), ('case', 68), ('patient', 38), ('start', 36), ('china', 34), ('recover', 30), ('wuhan', 29), ('vaccine', 29), ('month', 29), ('confirm', 27), ('news', 27), ('number', 26), ('wait', 23), ('gonna', 23), ('cure', 23), ('hope', 22), ('movie', 21), ('work', 19), ('day', 18)]"
Empathetic,0.0029,"[('sad', 138), ('feel', 43), ('bad', 36), ('lose', 33), ('life', 31), ('dont', 30), ('family', 28), ('work', 27), ('die', 23), ('friend', 20), ('job', 20), ('bc', 19), ('hurt', 18), ('sick', 17), ('gonna', 17), ('heart', 17), ('pandemic', 16), ('ive', 15), ('hard', 15), ('today', 15)]"
Optimism,0.0052,"[('love', 264), ('happy', 86), ('bless', 78), ('god', 73), ('stay', 72), ('great', 71), ('safe', 51), ('good', 42), ('work', 42), ('birthday', 40), ('life', 39), ('hope', 38), ('job', 36), ('beautiful', 35), ('family', 35), ('win', 34), ('friend', 34), ('amaze', 33), ('trainuntil', 31), ('alltogether', 31)]"
Pessimism,0.2321,"[('dont', 2024), ('test', 2018), ('case', 1707), ('death', 1690), ('spread', 1348), ('pandemic', 1313), ('die', 1291), ('china', 1274), ('country', 1211), ('work', 1139), ('fuck', 1023), ('bad', 996), ('lockdown', 954), ('news', 943), ('government', 931), ('president', 874), ('kill', 866), ('shit', 862), ('health', 853), ('american', 848)]"
Sadness,0.1492,"[('stay', 1463), ('work', 1160), ('fight', 1070), ('pandemic', 1047), ('test', 1022), ('good', 970), ('safe', 861), ('life', 771), ('love', 729), ('health', 726), ('great', 708), ('support', 691), ('hope', 675), ('dont', 622), ('patient', 620), ('spread', 610), ('today', 607), ('crisis', 602), ('care', 597), ('case', 596)]"
Surprise,0.2073,"[('test', 1837), ('stay', 1490), ('case', 1398), ('work', 1278), ('fight', 1229), ('pandemic', 1199), ('good', 1047), ('positive', 915), ('news', 871), ('safe', 869), ('health', 830), ('update', 812), ('life', 799), ('patient', 796), ('today', 777), ('country', 759), ('great', 750), ('love', 749), ('support', 684), ('spread', 683)]"
Trust,0.085,"[('die', 1216), ('death', 978), ('dont', 828), ('bad', 766), ('work', 719), ('test', 707), ('hospital', 550), ('case', 466), ('health', 465), ('life', 443), ('lose', 432), ('patient', 430), ('sick', 428), ('care', 426), ('pandemic', 420), ('stay', 419), ('job', 400), ('feel', 395), ('family', 393), ('flu', 387)]"
