Category,Rate,Hotwords
anger,0.2369,"[('test', 4099), ('case', 3461), ('dont', 3204), ('china', 3087), ('death', 3071), ('country', 2527), ('pandemic', 2489), ('spread', 2271), ('die', 2238), ('work', 1964), ('government', 1834), ('health', 1748), ('news', 1689), ('bad', 1671), ('number', 1648), ('kill', 1646), ('positive', 1628), ('lockdown', 1575), ('hospital', 1547), ('fuck', 1514)]"
anticipation,0.0046,"[('test', 170), ('positive', 98), ('case', 85), ('china', 57), ('confirm', 47), ('watch', 42), ('start', 39), ('wait', 37), ('news', 31), ('work', 30), ('patient', 29), ('movie', 26), ('wuhan', 26), ('season', 26), ('cure', 26), ('recover', 24), ('number', 23), ('country', 22), ('late', 22), ('update', 21)]"
disgust,0.2575,"[('test', 4653), ('case', 4328), ('death', 3843), ('dont', 3362), ('china', 3251), ('die', 2715), ('country', 2645), ('pandemic', 2639), ('spread', 2320), ('work', 2095), ('health', 1951), ('positive', 1944), ('news', 1905), ('number', 1867), ('government', 1830), ('hospital', 1808), ('bad', 1799), ('kill', 1670), ('lockdown', 1587), ('fuck', 1516)]"
fear,0.042,"[('death', 1303), ('case', 1183), ('test', 1161), ('die', 676), ('hospital', 638), ('symptom', 604), ('fear', 586), ('pandemic', 542), ('number', 540), ('flu', 524), ('dont', 472), ('china', 469), ('health', 448), ('bad', 444), ('patient', 444), ('report', 436), ('news', 394), ('infect', 382), ('positive', 380), ('country', 371)]"
confident,0.2063,"[('stay', 2642), ('work', 2567), ('test', 2396), ('pandemic', 2385), ('fight', 2205), ('case', 2092), ('good', 1787), ('support', 1749), ('positive', 1678), ('update', 1644), ('health', 1602), ('safe', 1572), ('today', 1561), ('crisis', 1429), ('great', 1388), ('news', 1356), ('spread', 1288), ('life', 1254), ('dont', 1220), ('care', 1203)]"
empathetic,0.0047,"[('love', 381), ('happy', 160), ('stay', 98), ('great', 82), ('hope', 78), ('good', 73), ('safe', 73), ('birthday', 72), ('today', 70), ('beautiful', 63), ('family', 60), ('work', 54), ('god', 52), ('bless', 52), ('life', 47), ('friend', 47), ('smile', 46), ('heart', 44), ('enjoy', 41), ('support', 40)]"
optimism,0.1624,"[('stay', 2665), ('work', 2359), ('pandemic', 2153), ('fight', 2009), ('support', 1729), ('good', 1713), ('safe', 1582), ('health', 1539), ('test', 1513), ('crisis', 1391), ('today', 1341), ('great', 1332), ('case', 1278), ('life', 1227), ('spread', 1202), ('hope', 1187), ('care', 1171), ('dont', 1159), ('positive', 1148), ('love', 1141)]"
pessimism,0.0028,"[('sad', 259), ('feel', 67), ('die', 51), ('work', 45), ('dont', 42), ('lose', 41), ('family', 41), ('test', 36), ('job', 33), ('life', 32), ('stay', 29), ('bad', 27), ('struggle', 25), ('friend', 24), ('today', 24), ('news', 24), ('stress', 23), ('heart', 23), ('death', 23), ('hospital', 22)]"
sadness,0.0829,"[('die', 2137), ('death', 1732), ('test', 1201), ('dont', 1173), ('bad', 1171), ('work', 1069), ('hospital', 980), ('case', 856), ('health', 799), ('pandemic', 756), ('life', 673), ('country', 668), ('sick', 629), ('patient', 625), ('feel', 619), ('number', 595), ('flu', 592), ('stay', 591), ('symptom', 590), ('lose', 562)]"
surprise,0.0,[]
trust,0.0,[]
