Category,Rate,Hotwords
anger,0.0729,"[('case', 199), ('flu', 143), ('test', 114), ('death', 110), ('fear', 98), ('panic', 91), ('confirm', 72), ('outbreak', 71), ('infect', 70), ('dont', 70), ('italy', 66), ('news', 63), ('number', 62), ('symptom', 61), ('spread', 61), ('day', 60), ('die', 58), ('bad', 56), ('health', 55), ('rate', 53)]"
anticipation,0.2673,"[('dont', 326), ('test', 294), ('spread', 285), ('cancel', 250), ('italy', 210), ('case', 202), ('outbreak', 197), ('quarantine', 196), ('country', 191), ('news', 179), ('china', 172), ('flu', 171), ('hand', 167), ('death', 164), ('bad', 154), ('infect', 154), ('work', 154), ('health', 153), ('school', 148), ('die', 140)]"
disgust,0.0025,"[('love', 17), ('happy', 11), ('great', 5), ('holi', 5), ('life', 4), ('care', 4), ('ive', 3), ('bless', 3), ('wonderful', 3), ('laugh', 3), ('hope', 3), ('safe', 2), ('drive', 2), ('today', 2), ('quarantine', 2), ('god', 2), ('family', 2), ('theme', 2), ('dont', 2), ('talk', 2)]"
fear,0.0048,"[('case', 13), ('today', 6), ('wait', 6), ('italy', 6), ('door', 6), ('close', 6), ('catch', 5), ('fear', 5), ('played', 4), ('test', 4), ('work', 4), ('come', 4), ('plan', 4), ('start', 4), ('china', 4), ('place', 4), ('news', 4), ('long', 3), ('ive', 3), ('league', 3)]"
confident,0.0,[]
empathetic,0.1003,"[('hand', 101), ('dont', 99), ('good', 99), ('work', 94), ('health', 92), ('spread', 80), ('stay', 78), ('test', 70), ('great', 69), ('outbreak', 66), ('safe', 61), ('wash', 61), ('love', 60), ('news', 59), ('case', 56), ('fight', 53), ('update', 53), ('school', 52), ('hope', 50), ('cure', 49)]"
optimism,0.1483,"[('test', 122), ('case', 117), ('hand', 116), ('health', 111), ('work', 108), ('good', 106), ('dont', 104), ('update', 100), ('spread', 99), ('outbreak', 91), ('news', 90), ('great', 76), ('stay', 70), ('school', 69), ('wash', 67), ('love', 62), ('today', 60), ('patient', 59), ('watch', 58), ('china', 58)]"
pessimism,0.0932,"[('cancel', 165), ('flu', 164), ('die', 147), ('dont', 136), ('death', 118), ('bad', 99), ('school', 88), ('sick', 81), ('case', 73), ('test', 73), ('italy', 73), ('work', 71), ('hospital', 65), ('infect', 59), ('rate', 56), ('class', 53), ('spread', 53), ('number', 52), ('outbreak', 52), ('symptom', 51)]"
sadness,0.0,[]
surprise,0.3089,"[('test', 354), ('dont', 344), ('spread', 310), ('case', 308), ('cancel', 276), ('italy', 243), ('outbreak', 242), ('flu', 239), ('death', 229), ('news', 209), ('country', 206), ('quarantine', 200), ('china', 192), ('die', 186), ('health', 178), ('bad', 174), ('hand', 174), ('school', 173), ('infect', 168), ('work', 167)]"
trust,0.0017,"[('sad', 16), ('hope', 6), ('dont', 5), ('spread', 4), ('ive', 3), ('graduate', 3), ('cough', 2), ('sexit', 2), ('cancel', 2), ('bc', 2), ('step', 2), ('day', 2), ('age', 2), ('april', 2), ('work', 2), ('ill', 2), ('sore', 2), ('man', 2), ('earth', 2), ('complete', 2)]"
