Category,Rate,Hotwords
anger,0.6555427461925853,"[('ءلى', 7652), ('حالة', 6474), ('الصحة', 6424), ('جديدة', 5729), ('الكويت', 4886), ('ءصابة', 4440), ('عاجل', 4120), ('وزارة', 4112), ('السعودية', 4057), ('تسجيل', 3379), ('وفاة', 3163), ('حالات', 2930), ('مصر', 2722), ('انتشار', 2716), ('ءزمة', 2628), ('وباء', 2607), ('رءيس', 2591), ('الحجر', 2559), ('الوزراء', 2385), ('حظر', 2273)]"
disgust,0.3925906021652639,"[('ءلى', 3255), ('الكويت', 3062), ('الصحة', 2529), ('السعودية', 2131), ('حالة', 2087), ('جديدة', 1936), ('وباء', 1925), ('ءزمة', 1795), ('مصر', 1747), ('انتشار', 1735), ('ءصابة', 1733), ('وزارة', 1724), ('رءيس', 1636), ('الحجر', 1590), ('عاجل', 1549), ('الصين', 1434), ('الدول', 1389), ('الوزراء', 1372), ('حظر', 1216), ('المنزلي', 1213)]"
fear,0.13855781982716028,"[('حالة', 1688), ('الصحة', 1609), ('ءلى', 1478), ('للوقاية', 1134), ('جديدة', 1110), ('عاجل', 1033), ('حالات', 952), ('وباء', 911), ('الوباء', 897), ('انتشار', 857), ('عدوى', 849), ('وزارة', 809), ('الفيروس', 733), ('تسجيل', 718), ('ءصابة', 681), ('قناة', 659), ('حظر', 645), ('ارتفاع', 564), ('التجول', 553), ('السعودية', 530)]"
sadness,0.2978061317361117,"[('حالة', 5714), ('ءلى', 5204), ('جديدة', 5113), ('ءصابة', 3835), ('وفاة', 3778), ('الصحة', 3504), ('تسجيل', 3044), ('حالات', 2719), ('عاجل', 2157), ('وزارة', 2036), ('الوفيات', 1705), ('الحالات', 1347), ('الءصابات', 1336), ('ارتفاع', 1308), ('وفيات', 1278), ('ءجمالي', 1260), ('السعودية', 1169), ('الكويت', 1142), ('تسجل', 1138), ('رءيس', 999)]"
pessimism,0.2811029150450302,"[('حالة', 3714), ('جديدة', 3435), ('ءلى', 2911), ('ءصابة', 2731), ('وفاة', 1943), ('الصحة', 1775), ('تسجيل', 1708), ('حالات', 1568), ('ءزمة', 1084), ('مصر', 1050), ('السعودية', 1034), ('بالبيت', 999), ('وزارة', 969), ('الصين', 890), ('الوفيات', 876), ('الكويت', 869), ('تسجل', 840), ('الحالات', 822), ('الءصابات', 796), ('انا', 741)]"
anticipation,0.22820217219828895,"[('الصحة', 2444), ('ءلى', 1864), ('للوقاية', 1803), ('الكويت', 1702), ('السعودية', 1643), ('وزارة', 1630), ('انتشار', 1538), ('قناة', 1508), ('عدوى', 1497), ('عاجل', 1415), ('حالة', 1271), ('ءزمة', 1196), ('لمواجهة', 1168), ('حظر', 1072), ('الوزراء', 968), ('ونصاءح', 949), ('كلنا', 927), ('وزير', 920), ('السياسية', 886), ('جديدة', 874)]"
trust,0.011866478282351106,"[('اللهم', 304), ('السعودية', 123), ('ءزمة', 120), ('الكويت', 111), ('المملكة', 102), ('عنا', 99), ('بالله', 95), ('كلنا', 95), ('ءلا', 92), ('الوطن', 90), ('ءثبتت', 88), ('يارب', 84), ('قوية', 76), ('سعود', 73), ('الوباء', 72), ('مسءول', 72), ('البلاء', 71), ('الكبيرة', 70), ('بالبيت', 70), ('العقول', 69)]"
optimism,0.1492454514722581,"[('اللهم', 2443), ('يارب', 1294), ('بالبيت', 1010), ('كلنا', 1000), ('عنا', 904), ('ءلى', 855), ('الصحة', 830), ('مسءول', 821), ('رمضان', 818), ('البيت', 811), ('خليك', 751), ('الخير', 711), ('السعودية', 710), ('الحجر', 676), ('الوباء', 649), ('البلاء', 639), ('الكويت', 616), ('ءلا', 616), ('ءزمة', 604), ('المنزلي', 601)]"
confident,0.07960681997451612,"[('اللهم', 1587), ('يارب', 681), ('شكرا', 611), ('الخير', 554), ('عنا', 543), ('كلنا', 528), ('البيت', 525), ('بالبيت', 510), ('السعودية', 499), ('الكويت', 491), ('رمضان', 491), ('خليك', 470), ('مسءول', 377), ('البلاء', 362), ('خير', 358), ('الحجر', 348), ('الصحة', 343), ('عمان', 336), ('مصر', 318), ('خلك', 313)]"
empathetic,0.28412804354798166,"[('بالبيت', 2206), ('للوقاية', 2143), ('السعودية', 1930), ('عدوى', 1863), ('قناة', 1855), ('كلنا', 1786), ('اللهم', 1712), ('ونصاءح', 1678), ('الكويت', 1553), ('الصحة', 1502), ('مسءول', 1455), ('البيت', 1404), ('الحجر', 1331), ('خليك', 1289), ('الرياضية', 1227), ('المنزلي', 1140), ('ءلى', 1117), ('رمضان', 1091), ('الرياض', 980), ('مصر', 934)]"
surprise,0.0018202778957587525,"[('مفاجءة', 14), ('جديدة', 13), ('مفاجءءت', 10), ('سارة', 10), ('لفيروس', 10), ('الكويت', 10), ('البلد', 10), ('الصحة', 9), ('فيديو', 9), ('غريب', 8), ('الحلقة', 8), ('مصر', 7), ('ليزيكو', 7), ('حلقة', 7), ('برنامج', 7), ('الءءن', 7), ('جديد', 7), ('هاني', 7), ('تشاهدون', 6), ('كوفيد', 6)]"
