Category,Rate,Hotwords
anger,0.7464805338741246,"[('الصحة', 4719), ('ءلى', 4611), ('حالة', 3985), ('السعودية', 3904), ('جديدة', 3712), ('الصين', 2952), ('الكويت', 2949), ('ءصابة', 2878), ('وزارة', 2725), ('عاجل', 2544)]"
disgust,0.2958238026740868,"[('السعودية', 1845), ('الصين', 1776), ('الصحة', 1288), ('الكويت', 1263), ('قناة', 1218), ('وباء', 1200), ('للوقاية', 1074), ('السياسية', 1068), ('ءلى', 1027), ('ءزمة', 1020)]"
fear,0.09123493762822175,"[('حالة', 2802), ('جديدة', 2374), ('ءصابة', 1806), ('الصحة', 1777), ('تسجيل', 1432), ('ءلى', 1403), ('وفاة', 1391), ('حالات', 1158), ('وزارة', 835), ('تسجل', 691)]"
sadness,0.29781639823614026,"[('حالة', 4538), ('جديدة', 4271), ('ءصابة', 3386), ('ءلى', 3171), ('وفاة', 3084), ('الصحة', 2699), ('تسجيل', 2366), ('حالات', 1585), ('عاجل', 1534), ('وزارة', 1519)]"
pessimism,0.03150423279175608,"[('الصحة', 365), ('العالمية', 317), ('وباء', 307), ('ءزمة', 273), ('ءلى', 241), ('الصين', 189), ('منظمة', 188), ('المملكة', 128), ('ترامب', 127), ('جاءحة', 111)]"
anticipation,0.014726342349140472,"[('ءلى', 178), ('ءءخر', 176), ('ءخبار', 142), ('جديدة', 131), ('حالة', 128), ('الصحة', 118), ('ءصابة', 92), ('باول', 84), ('تسجيل', 83), ('ءجمالي', 78)]"
trust,0.006343292380974839,"[('اللهم', 313), ('وسلم', 93), ('ءلا', 72), ('شكرا', 67), ('السعودية', 66), ('سلمان', 66), ('عنا', 63), ('نبينا', 62), ('البلاء', 58), ('ولي', 55)]"
optimism,0.1295894545711793,"[('اللهم', 3710), ('يارب', 1420), ('رمضان', 1245), ('عنا', 1130), ('شكرا', 938), ('الوباء', 739), ('الجمعة', 708), ('البلاء', 648), ('خير', 595), ('الصحة', 554)]"
confident,0.08621218195109298,"[('اللهم', 3104), ('يارب', 958), ('رمضان', 934), ('شكرا', 928), ('عنا', 895), ('الجمعة', 531), ('البلاء', 508), ('الوباء', 507), ('الكويت', 457), ('خير', 451)]"
empathetic,0.14512934185393922,"[('اللهم', 2637), ('رمضان', 1248), ('شكرا', 1005), ('يارب', 1002), ('السعودية', 803), ('للوقاية', 740), ('عدوى', 695), ('عنا', 694), ('ونصاءح', 692), ('الصحة', 675)]"
surprise,0.0,[]
