Category,Rate,Hotwords
anger,0.6311489597396753,"[('الصحة', 2808), ('ءلى', 1909), ('وزارة', 1773), ('اليمن', 1570), ('مصر', 1557), ('حالة', 1511), ('جديدة', 1486), ('حظر', 1348), ('ءصابة', 1316), ('الكويت', 1240), ('عاجل', 1237), ('جاءحة', 1195), ('انا', 1183), ('الصين', 1166), ('الشعب', 1164), ('الحظر', 1101), ('السعودية', 1047), ('وفاة', 1040), ('ترامب', 929), ('انتشار', 908)]"
disgust,0.24294665420431336,"[('الصحة', 1439), ('حالة', 1147), ('ءلى', 969), ('اليمن', 932), ('جديدة', 912), ('الصين', 880), ('وزارة', 817), ('مصر', 707), ('الكويت', 594), ('السعودية', 589), ('ترامب', 587), ('الشعب', 569), ('حالات', 568), ('ءصابة', 563), ('انتشار', 561), ('وفاة', 542), ('جاءحة', 509), ('العالمية', 461), ('وباء', 457), ('ءجمالي', 437)]"
fear,0.1448056219060477,"[('حالة', 1474), ('الصحة', 1198), ('جديدة', 1124), ('حالات', 848), ('وزارة', 816), ('ءلى', 797), ('وفاة', 780), ('ءصابة', 672), ('تسجيل', 488), ('الحالات', 480), ('الوفيات', 464), ('الوباء', 463), ('ءجمالي', 449), ('انتشار', 445), ('وفيات', 438), ('عاجل', 390), ('الفيروس', 385), ('بحذر', 361), ('اليمن', 353), ('تعلن', 335)]"
sadness,0.31055492089867415,"[('حالة', 2802), ('جديدة', 2508), ('ءصابة', 2123), ('وفاة', 1906), ('الصحة', 1746), ('ءلى', 1564), ('حالات', 1342), ('تسجيل', 1292), ('وزارة', 1103), ('وفيات', 912), ('ءجمالي', 844), ('الوفيات', 767), ('عاجل', 720), ('اليمن', 720), ('انا', 702), ('الحالات', 697), ('تسجل', 638), ('مصر', 604), ('تعلن', 542), ('اللهم', 530)]"
pessimism,0.32415965659293106,"[('جديدة', 1920), ('حالة', 1846), ('الصحة', 1507), ('ءصابة', 1458), ('ءلى', 1305), ('وفاة', 1038), ('تسجيل', 970), ('مصر', 860), ('وزارة', 795), ('اليمن', 778), ('الصين', 709), ('حالات', 695), ('جاءحة', 660), ('انا', 609), ('ءزمة', 561), ('الكويت', 552), ('تسجل', 530), ('وباء', 508), ('ءجمالي', 502), ('وفيات', 496)]"
anticipation,0.3344584068958355,"[('حالة', 3011), ('الصحة', 2539), ('جديدة', 1914), ('وزارة', 1661), ('ءلى', 1515), ('ءصابة', 1358), ('حالات', 1347), ('السعودية', 1163), ('تسجيل', 1023), ('وفاة', 958), ('الحظر', 906), ('اليمن', 874), ('الحالات', 869), ('شوال', 808), ('مصر', 760), ('تعلن', 746), ('عاجل', 738), ('ءجمالي', 721), ('مرسول', 709), ('الكويت', 706)]"
trust,0.017603074047149236,"[('اللهم', 180), ('سلمان', 85), ('الدمام', 81), ('السعودية', 78), ('الصحة', 73), ('يارب', 70), ('الكويت', 69), ('الرياض', 60), ('الملك', 57), ('المدينة', 55), ('وزارة', 54), ('مكة', 53), ('الطاءف', 51), ('الباحة', 51), ('تبوك', 51), ('نجران', 50), ('سكاكا', 50), ('حفر', 50), ('الباطن', 50), ('عرعر', 49)]"
optimism,0.11015335618098106,"[('اللهم', 1026), ('زوال', 609), ('شوال', 609), ('يارب', 592), ('حالة', 485), ('الصحة', 444), ('السعودية', 363), ('الحمد', 352), ('ءلى', 305), ('بحذر', 294), ('كلنا', 275), ('جاءحة', 270), ('نعود', 268), ('مسءول', 262), ('عنا', 259), ('الحمدلله', 252), ('الكويت', 245), ('خير', 243), ('حالات', 230), ('لله', 221)]"
confident,0.06463114895973968,"[('اللهم', 662), ('يارب', 327), ('شكرا', 285), ('الخير', 196), ('الصحة', 182), ('خير', 178), ('الكويت', 173), ('السعودية', 170), ('عنا', 161), ('جاءحة', 159), ('ءلى', 154), ('الرياض', 152), ('لله', 140), ('ربنا', 140), ('الحمد', 135), ('علينا', 130), ('انا', 130), ('الحمدلله', 124), ('الجميع', 120), ('الوباء', 118)]"
empathetic,0.12471007719735522,"[('السعودية', 663), ('الرياض', 619), ('مرسول', 587), ('جدة', 369), ('شكرا', 340), ('الخير', 315), ('مكة', 312), ('يارب', 289), ('الصحة', 286), ('كلوسيت', 284), ('فوغا', 283), ('الدمام', 280), ('جاءحة', 274), ('اللهم', 268), ('الكويت', 267), ('باث', 258), ('اند', 256), ('هنقرستيشن', 255), ('الحظر', 246), ('نمشي', 243)]"
surprise,0.026084397826011702,"[('حالة', 279), ('جديدة', 267), ('ءصابة', 174), ('الصحة', 154), ('وفاة', 152), ('وزارة', 121), ('تسجيل', 110), ('عاجل', 104), ('السعودية', 89), ('انا', 71), ('تسجل', 65), ('تعلن', 58), ('عادي', 54), ('شفاء', 46), ('ءلى', 44), ('انت', 41), ('الحالات', 38), ('جديد', 37), ('يعني', 37), ('الجمعة', 36)]"
