Category,Rate,Hotwords
anger,0.6428613665257369,"[('الكويت', 4306), ('الحظر', 3128), ('الصحة', 2884), ('ءلى', 2789), ('ءصابة', 2600), ('السعودية', 2321), ('جديدة', 2310), ('حالة', 2192), ('وزارة', 2158), ('الشامل', 1984), ('عاجل', 1642), ('الدوري', 1574), ('مصر', 1518), ('ءزمة', 1442), ('رمضان', 1410), ('حالات', 1238), ('قطر', 1186), ('حظر', 1181), ('جاءحة', 1177), ('تسجيل', 1158)]"
disgust,0.2377671998344322,"[('الكويت', 1819), ('حالة', 1446), ('ءلى', 1353), ('الصحة', 1317), ('جديدة', 1156), ('ءصابة', 977), ('الحظر', 956), ('وزارة', 926), ('السعودية', 884), ('حالات', 750), ('الصين', 717), ('مصر', 677), ('انتشار', 635), ('الشامل', 616), ('ءزمة', 605), ('الحالات', 557), ('وباء', 541), ('الوباء', 536), ('الدوري', 495), ('وفاة', 484)]"
fear,0.1314490139845667,"[('حالة', 1656), ('جديدة', 1307), ('ءلى', 1106), ('الصحة', 1103), ('حالات', 1043), ('ءصابة', 794), ('وزارة', 731), ('وفاة', 697), ('الوباء', 659), ('الكويت', 628), ('الحظر', 585), ('الحالات', 575), ('تسجيل', 530), ('الوفيات', 521), ('ءجمالي', 450), ('الفيروس', 431), ('عاجل', 419), ('وفيات', 412), ('انتشار', 396), ('وباء', 374)]"
sadness,0.2873784111403483,"[('حالة', 3600), ('جديدة', 3283), ('ءصابة', 3170), ('ءلى', 2495), ('الصحة', 2029), ('وفاة', 1942), ('تسجيل', 1740), ('حالات', 1681), ('الكويت', 1412), ('وزارة', 1387), ('عاجل', 985), ('وفيات', 980), ('الحالات', 960), ('ءجمالي', 935), ('الوفيات', 855), ('الءصابات', 739), ('اللهم', 732), ('تسجل', 675), ('تعلن', 556), ('انا', 551)]"
pessimism,0.3454897554918251,"[('جديدة', 2681), ('حالة', 2433), ('ءصابة', 2320), ('ءلى', 2049), ('الصحة', 1714), ('الكويت', 1382), ('تسجيل', 1334), ('السعودية', 1333), ('للوقاية', 1293), ('عدوى', 1259), ('قناة', 1244), ('وفاة', 1161), ('ونصاءح', 923), ('وزارة', 922), ('لبنان', 888), ('مصر', 853), ('الحظر', 848), ('ءزمة', 833), ('السياسية', 817), ('حالات', 811)]"
anticipation,0.36393873991071163,"[('حالة', 3888), ('الصحة', 2858), ('جديدة', 2653), ('الكويت', 2452), ('السعودية', 2362), ('ءلى', 2163), ('الحظر', 2120), ('ءصابة', 2079), ('حالات', 1939), ('وزارة', 1828), ('للوقاية', 1605), ('قناة', 1536), ('عدوى', 1456), ('تسجيل', 1409), ('الشامل', 1289), ('رمضان', 1237), ('الحالات', 1122), ('ونصاءح', 1096), ('قطر', 985), ('وفاة', 964)]"
trust,0.01870029270023357,"[('اللهم', 308), ('الكويت', 249), ('سلمان', 135), ('عنا', 80), ('الرياض', 80), ('يارب', 78), ('عمان', 75), ('الملك', 75), ('الحظر', 73), ('مكة', 68), ('جاءحة', 67), ('الدمام', 66), ('الخبر', 63), ('الزلفي', 63), ('المدينة', 62), ('ءلا', 61), ('الطاءف', 59), ('جازان', 59), ('الحبيب', 59), ('تبوك', 59)]"
optimism,0.10556426100582444,"[('اللهم', 1393), ('رمضان', 1127), ('الكويت', 1006), ('حالة', 665), ('يارب', 588), ('كلنا', 537), ('عنا', 506), ('الصحة', 498), ('مسءول', 495), ('ءلى', 415), ('السعودية', 382), ('الحمد', 353), ('الوباء', 329), ('البلاء', 324), ('حالات', 323), ('الحظر', 309), ('الخير', 294), ('جديدة', 282), ('خير', 273), ('البيت', 271)]"
confident,0.06947934837240931,"[('اللهم', 1059), ('رمضان', 806), ('الكويت', 715), ('يارب', 442), ('عنا', 384), ('كلنا', 332), ('شكرا', 284), ('مسءول', 275), ('الخير', 262), ('خليك', 252), ('حياتك', 248), ('بالبيت', 227), ('البيت', 223), ('البلاء', 216), ('السعودية', 216), ('الوباء', 211), ('نعمة', 209), ('الحظر', 202), ('الصحة', 188), ('خير', 179)]"
empathetic,0.13130118558377435,"[('رمضان', 1655), ('السعودية', 1011), ('نمشي', 889), ('الكويت', 674), ('الرياض', 625), ('اند', 618), ('كلنا', 528), ('باث', 489), ('نسناس', 468), ('فوغا', 465), ('كلوسيت', 448), ('مسءول', 437), ('جدة', 427), ('الامارات', 427), ('الصحة', 422), ('شكرا', 420), ('خليك', 415), ('اللهم', 387), ('بالبيت', 381), ('بودي', 378)]"
surprise,0.022957750643053543,"[('جديدة', 273), ('حالة', 267), ('ءصابة', 182), ('الصحة', 178), ('وفاة', 148), ('وزارة', 120), ('السعودية', 116), ('تسجيل', 115), ('عاجل', 108), ('رمضان', 92), ('تعلن', 76), ('ءلى', 69), ('الكويت', 68), ('تسجل', 66), ('جديد', 49), ('حالات', 47), ('خبر', 46), ('البلد', 45), ('انا', 43), ('الحالات', 42)]"
