Category,Rate,Hotwords
anger,0.7645211930926217,"[('مصر', 160), ('الصحة', 79), ('الكويت', 67), ('ءلى', 52), ('الصين', 46), ('حالات', 45), ('حالة', 44), ('انا', 37), ('يعني', 37), ('وزارة', 34)]"
disgust,0.31004709576138145,"[('مصر', 70), ('الكويت', 47), ('الصحة', 35), ('ايران', 23), ('الدول', 22), ('حالات', 21), ('الصين', 20), ('يعني', 19), ('وباء', 17), ('لكورونا', 17)]"
fear,0.12166405023547881,"[('جديدة', 24), ('وفاة', 23), ('الصين', 22), ('ءصابة', 22), ('تعلن', 19), ('ءلى', 19), ('حالة', 18), ('الصحة', 14), ('مصر', 13), ('عاجل', 11)]"
sadness,0.2684458398744113,"[('مصر', 48), ('وفاة', 37), ('الصين', 36), ('ءصابة', 35), ('جديدة', 34), ('ءلى', 30), ('حالة', 28), ('حالات', 26), ('تعلن', 23), ('عاجل', 22)]"
pessimism,0.022762951334379906,"[('الصحة', 8), ('مصر', 5), ('العالمية', 5), ('وزارة', 4), ('ءول', 3), ('كلها', 2), ('عندي', 2), ('امل', 2), ('نقول', 2), ('خالية', 2)]"
anticipation,0.01805337519623234,"[('انا', 4), ('العربية', 4), ('تءجيل', 3), ('ءلى', 3), ('خايفه', 3), ('تنبء', 3), ('القمة', 3), ('شهر', 3), ('معلوماتي', 2), ('المقبلة', 2)]"
trust,0.004709576138147566,"[('اللهم', 8), ('تشاء', 4), ('المسلمين', 3), ('ءنت', 3), ('ءعوذ', 3), ('سلاح', 2), ('المءمن', 2), ('يارب', 2), ('سلم', 2), ('المرض', 2)]"
optimism,0.07456828885400314,"[('اللهم', 19), ('يارب', 18), ('الكويت', 9), ('ءلى', 8), ('الدعاء', 6), ('تشاء', 6), ('ربنا', 6), ('المسلمين', 6), ('المرض', 5), ('رمضان', 5)]"
confident,0.05337519623233909,"[('اللهم', 17), ('الكويت', 9), ('يارب', 8), ('تشاء', 6), ('قلبي', 4), ('المرض', 4), ('وقنا', 4), ('الداء', 4), ('والبلاء', 4), ('بلطفك', 4)]"
empathetic,0.10204081632653061,"[('اللهم', 13), ('الكويت', 9), ('مصر', 7), ('جاي', 7), ('ءلى', 6), ('يارب', 6), ('شويه', 4), ('انا', 4), ('رمضان', 4), ('المرض', 4)]"
surprise,0.0,[]
