Category,Rate,Hotwords
anger,0.5934836028274125,"[('الصحة', 3898), ('حالة', 3789), ('جديدة', 3746), ('ءلى', 3401), ('رمضان', 3310), ('ءصابة', 2846), ('السعودية', 2720), ('تسجيل', 2229), ('وزارة', 2079), ('عاجل', 1871), ('وفاة', 1818), ('الكويت', 1815), ('وزير', 1431), ('ءزمة', 1423), ('مصر', 1371), ('حالات', 1342), ('الصين', 1171), ('وباء', 1124), ('جاءحة', 1122), ('شهر', 1120)]"
disgust,0.33314625489184846,"[('الصحة', 1482), ('رمضان', 1466), ('ءلى', 1390), ('السعودية', 1320), ('جديدة', 1130), ('الصين', 997), ('وزير', 980), ('ءصابة', 969), ('مصر', 856), ('حالة', 847), ('الكويت', 840), ('ءزمة', 833), ('وزارة', 768), ('وباء', 713), ('انتشار', 690), ('قطر', 652), ('عاجل', 645), ('جاءحة', 618), ('الدول', 615), ('العالمية', 566)]"
fear,0.1158268361496223,"[('حالة', 945), ('للوقاية', 880), ('الصحة', 805), ('عدوى', 719), ('جديدة', 658), ('ءلى', 648), ('قناة', 615), ('السياسية', 491), ('ونصاءح', 429), ('عاجل', 423), ('وباء', 413), ('الفيروس', 399), ('تسجيل', 378), ('رمضان', 378), ('حالات', 370), ('الدكتور', 358), ('لفيروس', 349), ('العدوى', 349), ('ءصابة', 336), ('الوباء', 315)]"
sadness,0.26346206352577134,"[('حالة', 3594), ('جديدة', 3350), ('ءصابة', 2456), ('ءلى', 2336), ('الصحة', 2122), ('تسجيل', 1989), ('وفاة', 1947), ('رمضان', 1333), ('حالات', 1171), ('وزارة', 1090), ('عاجل', 988), ('ءجمالي', 839), ('وفيات', 777), ('الوفيات', 758), ('تسجل', 717), ('الءصابات', 709), ('الحالات', 681), ('تعلن', 635), ('الكويت', 612), ('ليرتفع', 588)]"
pessimism,0.2693171131268392,"[('جديدة', 2276), ('حالة', 2166), ('ءصابة', 1628), ('ءلى', 1350), ('وفاة', 1217), ('الصحة', 1194), ('السعودية', 1073), ('تسجيل', 1068), ('حالات', 623), ('رمضان', 550), ('الصين', 540), ('تسجل', 526), ('ءزمة', 518), ('وزارة', 507), ('مواجهة', 477), ('ءجمالي', 454), ('ءصابات', 443), ('انا', 436), ('مصر', 422), ('وباء', 418)]"
anticipation,0.2677092497648879,"[('رمضان', 2680), ('السعودية', 2323), ('للوقاية', 2076), ('قناة', 1894), ('عدوى', 1862), ('نمشي', 1461), ('الصحة', 1445), ('ونصاءح', 1327), ('السياسية', 1068), ('ءلى', 1017), ('فوغا', 926), ('كلوسيت', 902), ('حالة', 867), ('قطر', 845), ('مواجهة', 816), ('شهر', 814), ('جاءحة', 791), ('وزارة', 749), ('ءزمة', 721), ('الدكتور', 719)]"
trust,0.007023025816824925,"[('اللهم', 48), ('نفخر', 46), ('رمضان', 45), ('الوطن', 44), ('الءنسان', 42), ('المواطن', 41), ('ءولا', 41), ('المال', 38), ('بوطننا', 38), ('بالله', 36), ('السعودية', 34), ('الملك', 32), ('سلطان', 31), ('ولذلك', 29), ('وبقيادتنا', 29), ('كتبه', 29), ('الجوفي', 29), ('الكويت', 29), ('ءلا', 28), ('كلنا', 28)]"
optimism,0.18315990656190273,"[('رمضان', 8465), ('شهر', 3244), ('مبارك', 1695), ('اللهم', 1311), ('الشهر', 1068), ('بخير', 1028), ('كريم', 976), ('علينا', 896), ('يارب', 887), ('عليكم', 853), ('جاءحة', 686), ('عنا', 665), ('المبارك', 638), ('خير', 603), ('وكل', 555), ('وانتم', 544), ('الخير', 537), ('التراويح', 521), ('هلال', 499), ('ءلى', 491)]"
confident,0.12558019597730788,"[('رمضان', 7189), ('شهر', 2782), ('مبارك', 1536), ('اللهم', 1072), ('بخير', 979), ('الشهر', 847), ('كريم', 847), ('عليكم', 773), ('علينا', 672), ('يارب', 592), ('المبارك', 567), ('عنا', 544), ('وانتم', 517), ('وكل', 514), ('الخير', 509), ('الكويت', 456), ('خير', 453), ('شكرا', 439), ('جاءحة', 424), ('السعودية', 417)]"
empathetic,0.3757546339835573,"[('رمضان', 11877), ('شهر', 4041), ('السعودية', 2322), ('نمشي', 2215), ('للوقاية', 2195), ('مبارك', 2143), ('عدوى', 2021), ('قناة', 1945), ('ونصاءح', 1877), ('كريم', 1481), ('الكويت', 1345), ('الرياضية', 1345), ('كلوسيت', 1328), ('الرياض', 1247), ('فوغا', 1245), ('الشهر', 1132), ('اللهم', 1127), ('بخير', 1055), ('جاءحة', 986), ('عليكم', 917)]"
surprise,0.002017413463580378,"[('رمضان', 29), ('اند', 23), ('نمشي', 22), ('ستايلي', 18), ('السعودية', 17), ('كلوسيت', 16), ('ستريت', 15), ('باث', 14), ('بودي', 14), ('فوغا', 14), ('سبري', 14), ('هيرب', 12), ('فيكتوريا', 12), ('سيكريت', 12), ('جدة', 12), ('الرياض', 12), ('مفاجءة', 12), ('نسناس', 12), ('مودانيسا', 11), ('فوغاكلوسيت', 11)]"
