,China,Germany,United Kingdom,United States,
My family`s health,70,67,73,70,in %
My country`s economic stability,71,58,51,70,in %
My physical health,64,50,50,53,in %
My parent's / older friends health,52,50,51,51,in %
My economic situation,50,36,36,49,in %
Food shortages,26,18,31,42,in %
My country`s political stability,35,26,17,31,in %
My mental health,22,23,33,28,in %
My job security,37,21,25,24,in %
Rioting or looting,9,15,10,15,in %
Other,0,0,0,0,in %
Don`t know,0,2,3,1,in %
