,China,Germany,United Kingdom,United States,
My family`s health,68,67,73,70,in %
My country`s economic stability,64,60,60,70,in %
My physical health,62,52,48,51,in %
My parent's / older friends health,47,51,52,47,in %
My economic situation,55,35,39,46,in %
Food shortages,28,11,26,41,in %
My country`s political stability,34,27,17,32,in %
My mental health,25,25,32,28,in %
My job security,39,21,26,25,in %
Rioting or looting,9,13,9,12,in %
Don`t know,1,2,1,1,in %
