"State","Date","Rt","R.lo.05","R.hi.95"
"Indiana",2020-03-31,2.31618770243027,2.22405590507046,2.40988611953247
"Indiana",2020-04-01,2.10428905641801,2.02572200971106,2.1841087575075
"Indiana",2020-04-02,1.86748336159403,1.80029183268254,1.93570663340344
"Indiana",2020-04-03,1.68953577153166,1.63080569354283,1.74913665823455
"Indiana",2020-04-04,1.6197566540312,1.56620026223992,1.67406782837196
"Indiana",2020-04-05,1.54423876759193,1.49498950705715,1.59415716228389
"Indiana",2020-04-06,1.47929333698437,1.43359587767223,1.52559192813006
"Indiana",2020-04-07,1.4124483716803,1.36989722900669,1.45554520419649
"Indiana",2020-04-08,1.27836416204469,1.23960298927818,1.31762568249724
"Indiana",2020-04-09,1.19030560663678,1.1542760047661,1.22679949216089
"Indiana",2020-04-10,1.13979807708739,1.10553008285925,1.17450463636336
"Indiana",2020-04-11,1.12026069292212,1.08696955309629,1.15397290583573
"Indiana",2020-04-12,1.06841360606659,1.03638854287835,1.10084727844581
"Indiana",2020-04-13,0.958110314060614,0.928149060510188,0.98847060702626
"Indiana",2020-04-14,0.894459334265479,0.865720110540465,0.92359198348333
"Indiana",2020-04-15,0.90365322517413,0.874729499551924,0.932971368671826
"Indiana",2020-04-16,0.929838875034569,0.900251326183186,0.959827498259318
"Indiana",2020-04-17,0.979300908256562,0.94862113738544,1.01039004359998
"Indiana",2020-04-18,0.993150626624798,0.962002827691367,1.0247144972358
"Indiana",2020-04-19,1.09753542659696,1.06464844271426,1.13084187498095
"Indiana",2020-04-20,1.16601634397011,1.1321090297246,1.2003432062137
"Indiana",2020-04-21,1.14288508770696,1.10956122591506,1.17662239878147
"Indiana",2020-04-22,1.02471293520741,0.993600110378305,1.05622793695877
"Indiana",2020-04-23,0.993855305480752,0.96362231847582,1.02447984518817
"Indiana",2020-04-24,1.03397702528886,1.00332542012456,1.06501535443947
"Indiana",2020-04-25,1.08059725270345,1.04930157304079,1.11227857251873
"Indiana",2020-04-26,1.12240465625166,1.09059020213601,1.15460269493795
"Indiana",2020-04-27,1.28606035008117,1.25222433627463,1.32027469957094
"Indiana",2020-04-28,1.34324796088324,1.30910295275698,1.37776170196586
"Indiana",2020-04-29,1.27777888868344,1.24525119139482,1.31065836626027
"Indiana",2020-04-30,1.20756303472048,1.17687078611568,1.23858668960864
"Indiana",2020-05-01,1.16882108981898,1.13943968322195,1.19851622787826
"Indiana",2020-05-02,1.13167497837192,1.10338629948785,1.16026401463052
"Indiana",2020-05-03,1.01387441235964,0.987562581634332,1.04047639885839
"Indiana",2020-05-04,0.977591611865873,0.952080515649598,1.00338561332131
"Iowa",2020-03-29,3.91878982173399,3.50541823648783,4.35136286072585
"Iowa",2020-03-30,3.28448596818273,2.97941696864563,3.60195989774414
"Iowa",2020-03-31,2.75984098065551,2.52308028752609,3.00546477914418
"Iowa",2020-04-01,2.1850732700772,2.00188343120678,2.37495887477279
"Iowa",2020-04-02,1.77026347384127,1.62358501974744,1.92223812304763
"Iowa",2020-04-03,1.56305978383002,1.43707798134239,1.69346199669423
"Iowa",2020-04-04,1.53523334824169,1.41829119136951,1.65604556126858
"Iowa",2020-04-05,1.36584188114034,1.26111563293871,1.47405759657162
"Iowa",2020-04-06,1.25913553345646,1.16301464399206,1.3584446211761
"Iowa",2020-04-07,1.30542243222145,1.21090248948975,1.40291065991539
"Iowa",2020-04-08,1.31385434311901,1.22158375468772,1.40893271069132
"Iowa",2020-04-09,1.33710825470889,1.24649693229343,1.43037724671575
"Iowa",2020-04-10,1.32966651688842,1.2418717712287,1.41996828359706
"Iowa",2020-04-11,1.33339111482275,1.24809331576263,1.42104657602326
"Iowa",2020-04-12,1.25137169086381,1.17125928623046,1.33370017954012
"Iowa",2020-04-13,1.21700075618151,1.14031521281848,1.29577325610047
"Iowa",2020-04-14,1.31672269041321,1.2389044454164,1.39652377589641
"Iowa",2020-04-15,1.20889377614339,1.13605406414243,1.28362666282285
"Iowa",2020-04-16,1.19237605666887,1.12186058705893,1.26468949556836
"Iowa",2020-04-17,1.24402563432508,1.17356782226638,1.31620203716109
"Iowa",2020-04-18,1.34614861975692,1.27425905871827,1.41968922789625
"Iowa",2020-04-19,1.67206989713375,1.59366904478977,1.75204712314759
"Iowa",2020-04-20,1.65570169240677,1.58023555037971,1.73264199344198
"Iowa",2020-04-21,1.92684273341457,1.84941784991024,2.00559779546499
"Iowa",2020-04-22,1.6845644322186,1.6164013952823,1.75390686248814
"Iowa",2020-04-23,1.4538667440523,1.3947491253349,1.51401236837054
"Iowa",2020-04-24,1.5617657119501,1.5040069076009,1.62043654687627
"Iowa",2020-04-25,1.60306126796742,1.54719873507199,1.65975417999449
"Iowa",2020-04-26,1.53877947476957,1.48657731156232,1.59173675062413
"Iowa",2020-04-27,1.33712732484873,1.29087566966738,1.38406134789425
"Iowa",2020-04-28,1.42874247023259,1.38308149939902,1.47502513565397
"Iowa",2020-04-29,1.47486418378866,1.43014495030864,1.52016067444117
"Iowa",2020-04-30,1.26539064184311,1.22550714592505,1.30580958877009
"Iowa",2020-05-01,1.2093158360591,1.1718116129208,1.24731537632739
"Iowa",2020-05-02,1.2937063472439,1.25603250450932,1.33184701205093
"Iowa",2020-05-03,1.29429835246971,1.25747381762888,1.33156856587533
"Iowa",2020-05-04,1.23969796888969,1.20456409439879,1.2752553859287
"Kansas",2020-03-31,2.83141035991622,2.56927491146667,3.10416897779825
"Kansas",2020-04-01,2.1419971913161,1.94832478714266,2.34332713705539
"Kansas",2020-04-02,1.81280593791434,1.65486404060719,1.97675625375708
"Kansas",2020-04-03,1.56629837542115,1.43192907964958,1.70569776807971
"Kansas",2020-04-04,1.43100456223951,1.31087458693818,1.55553144458792
"Kansas",2020-04-05,1.36475896273872,1.25325181018085,1.48023428835668
"Kansas",2020-04-06,1.35196370385512,1.2453148379284,1.46227215027666
"Kansas",2020-04-07,1.25559641537857,1.15631696136791,1.35829085658473
"Kansas",2020-04-08,1.41597826496487,1.3136545915236,1.52150878054912
"Kansas",2020-04-09,1.31363256233151,1.21785625298394,1.41243823137364
"Kansas",2020-04-10,1.19729753141802,1.10884834273127,1.28858257114208
"Kansas",2020-04-11,1.22364288670204,1.13681959569378,1.31313637522748
"Kansas",2020-04-12,1.09069180361292,1.01060872657302,1.17332634174403
"Kansas",2020-04-13,1.03443256521891,0.957936460337284,1.11338388286391
"Kansas",2020-04-14,0.811772760895554,0.744941879627385,0.881000731464778
"Kansas",2020-04-15,0.811543754796896,0.744901391581429,0.880570148250307
"Kansas",2020-04-16,0.891422238639718,0.820688108754415,0.964598394364519
"Kansas",2020-04-17,1.00124364341364,0.924809910095583,1.08021257898132
"Kansas",2020-04-18,1.10788255555643,1.02628918479486,1.19208369738406
"Kansas",2020-04-19,1.19166135105247,1.10670513355035,1.27924317201587
"Kansas",2020-04-20,1.34793802671318,1.25820062315971,1.44025975529817
"Kansas",2020-04-21,1.34609735364128,1.25800583927876,1.43668140353402
"Kansas",2020-04-22,1.44726957493674,1.35842140752858,1.53847176247197
"Kansas",2020-04-23,1.71357485074576,1.61994281161095,1.80940831943383
"Kansas",2020-04-24,1.80099479632817,1.70885105124752,1.89516393576636
"Kansas",2020-04-25,1.88236295799013,1.79329400533015,1.973239514907
"Kansas",2020-04-26,1.61184566670033,1.53473440373932,1.69053951136603
"Kansas",2020-04-27,1.55342341595633,1.48267390191832,1.62555386254531
"Kansas",2020-04-28,1.40430901856017,1.34076751408182,1.46908252411794
"Kansas",2020-04-29,1.16654606244359,1.11137092258915,1.2228404732899
"Kansas",2020-04-30,1.33672291157238,1.27974379273644,1.39474159022262
"Kansas",2020-05-01,1.22385891780237,1.17067171298119,1.27803581644601
"Kansas",2020-05-02,1.36444421220967,1.30968364523966,1.42014442895317
"Kansas",2020-05-03,1.38502072629297,1.33122893669306,1.43970523721239
"Kansas",2020-05-04,1.3131333757807,1.26234721884891,1.3647587824593
"Kentucky",2020-03-28,4.08571935563948,3.70055100590865,4.48679428018663
"Kentucky",2020-03-29,2.97182721469344,2.70229278381667,3.25205302124315
"Kentucky",2020-03-30,2.18187283412881,1.98639287162741,2.38500846975167
"Kentucky",2020-03-31,2.05032449232146,1.88322241752717,2.22335775610155
"Kentucky",2020-04-01,1.87972405676976,1.73397720058547,2.03038363662499
"Kentucky",2020-04-02,1.67044814754586,1.5436203077275,1.80145907443135
"Kentucky",2020-04-03,1.20439557961424,1.10421432631556,1.30820875876908
"Kentucky",2020-04-04,1.37143805021817,1.27002044944307,1.47611074206281
"Kentucky",2020-04-05,1.52696635340871,1.42322067909175,1.6337630644174
"Kentucky",2020-04-06,1.17725931893852,1.08920105863702,1.26817745779896
"Kentucky",2020-04-07,1.41568359680234,1.32258886198351,1.51142558493868
"Kentucky",2020-04-08,1.40433238346346,1.31421968988806,1.49694371773547
"Kentucky",2020-04-09,1.55594428313819,1.46404809782898,1.65018045141844
"Kentucky",2020-04-10,1.49779442885185,1.41101546789553,1.58673995271196
"Kentucky",2020-04-11,1.39907476282874,1.31891638526554,1.48121159996938
"Kentucky",2020-04-12,1.44392972025946,1.365982761996,1.52368670278435
"Kentucky",2020-04-13,1.11827951871294,1.05240418202249,1.18582778395546
"Kentucky",2020-04-14,1.12153525215373,1.05782351196324,1.18680583554559
"Kentucky",2020-04-15,1.01499140054226,0.955623060772782,1.07585648953276
"Kentucky",2020-04-16,0.936838153641347,0.880467220534561,0.994672181475586
"Kentucky",2020-04-17,0.858631414986736,0.804885889744475,0.913829633968129
"Kentucky",2020-04-18,0.960944631010538,0.903777963368247,1.01957779870869
"Kentucky",2020-04-19,1.20339408380649,1.13864312299675,1.26964363483108
"Kentucky",2020-04-20,1.11903903735196,1.05633358272457,1.1832573314089
"Kentucky",2020-04-21,1.17067678400937,1.10720349217361,1.23563062459246
"Kentucky",2020-04-22,1.19534429339036,1.13211205004501,1.26001469894899
"Kentucky",2020-04-23,1.25779462030655,1.19394010411631,1.32304161322196
"Kentucky",2020-04-24,1.26513852419248,1.20228782622863,1.32932978752229
"Kentucky",2020-04-25,1.06515306570645,1.00883722076544,1.1227490804581
"Kentucky",2020-04-26,1.10315043156521,1.0470927415727,1.16043177795405
"Kentucky",2020-04-27,1.0001832953104,0.947522093952349,1.05403650180407
"Kentucky",2020-04-28,1.03398387457912,0.980874294230012,1.08826554487442
"Kentucky",2020-04-29,1.01457739152273,0.962153607469578,1.06816519264848
"Kentucky",2020-04-30,0.947708819154004,0.897178229289323,0.999398021605182
"Kentucky",2020-05-01,0.991644641179373,0.939991883965778,1.04445377391126
"Kentucky",2020-05-02,0.826037173187905,0.778826136699595,0.874410542984655
"Kentucky",2020-05-03,1.11075046830606,1.05567105215084,1.16700248616166
"Kentucky",2020-05-04,1.03892029621772,0.985185065415233,1.09384988279933
"Louisiana",2020-03-21,5.17878666509054,4.85197501122224,5.51450595662584
"Louisiana",2020-03-22,3.4405260929824,3.22960893880609,3.65702338399838
"Louisiana",2020-03-23,3.2247736087717,3.05697174337498,3.3963282459261
"Louisiana",2020-03-24,2.68710055478931,2.55576951104544,2.8211864787478
"Louisiana",2020-03-25,2.59029482063662,2.47764482366581,2.70504248626384
"Louisiana",2020-03-26,2.57001142472909,2.47033663495848,2.67133804497173
"Louisiana",2020-03-27,2.30163549486636,2.21730519997933,2.38728481944043
"Louisiana",2020-03-28,2.31331557592704,2.23742679581618,2.3902653683196
"Louisiana",2020-03-29,1.81068573849358,1.74993230335165,1.8723082133745
"Louisiana",2020-03-30,1.67711390263737,1.62376809604665,1.73118256290559
"Louisiana",2020-03-31,1.8955574530493,1.84273545027136,1.94900544185285
"Louisiana",2020-04-01,2.00390253689008,1.95282878701964,2.05552931232636
"Louisiana",2020-04-02,2.70704442082328,2.65164881609044,2.76292058167521
"Louisiana",2020-04-03,2.48436489150102,2.43566655083662,2.53346775357148
"Louisiana",2020-04-04,2.54860803618756,2.50447596932242,2.59306362919706
"Louisiana",2020-04-05,2.04584183268253,2.01047273801527,2.08146979307794
"Louisiana",2020-04-06,1.7769503890711,1.74727275801152,1.80683780444447
"Louisiana",2020-04-07,1.53604576324594,1.51069147476816,1.56157716550066
"Louisiana",2020-04-08,1.07731751136464,1.05743461891629,1.09735583241535
"Louisiana",2020-04-09,0.996442092973584,0.978173793602749,1.01485224483669
"Louisiana",2020-04-10,0.811825759969262,0.795650789174271,0.828137318811229
"Louisiana",2020-04-11,0.839762999028192,0.823327786493757,0.856334518127488
"Louisiana",2020-04-12,0.705100890625334,0.689848344923215,0.720493375683705
"Louisiana",2020-04-13,0.606063436109441,0.591646308731261,0.620626159053042
"Louisiana",2020-04-14,0.610008971495618,0.595110870527969,0.625061581154993
"Louisiana",2020-04-15,0.541349044744763,0.526732948967959,0.556132902983953
"Louisiana",2020-04-16,0.53233853578301,0.51714238882038,0.547719217610775
"Louisiana",2020-04-17,0.561365292429848,0.544897967074887,0.578038182191746
"Louisiana",2020-04-18,0.605992339608501,0.587867407595923,0.624348021241635
"Louisiana",2020-04-19,0.662073984379199,0.642026699057616,0.682379691714247
"Louisiana",2020-04-20,0.757315749764508,0.734739802490924,0.780178148952877
"Louisiana",2020-04-21,0.798173534619487,0.773968042377283,0.822691537030973
"Louisiana",2020-04-22,0.800915131028458,0.775855878869448,0.826308319985135
"Louisiana",2020-04-23,0.810542915118668,0.784683082557496,0.836754231954283
"Louisiana",2020-04-24,0.82837728458509,0.801637739560713,0.855484603557658
"Louisiana",2020-04-25,0.872585948345477,0.844549522509083,0.90100617872571
"Louisiana",2020-04-26,0.789794393289104,0.76261404267572,0.817373676612668
"Louisiana",2020-04-27,0.804127397961317,0.776231485075138,0.832436084582732
"Louisiana",2020-04-28,0.766899290890606,0.739111522258774,0.795116809876692
"Louisiana",2020-04-29,0.759867664492563,0.731584761586736,0.788600082089685
"Louisiana",2020-04-30,0.774024939604889,0.744758372351975,0.803764150905877
"Louisiana",2020-05-01,0.964746671307519,0.931165685834726,0.998826255847977
"Louisiana",2020-05-02,1.08917411378745,1.05262169799439,1.12624950012018
