"CountryCode","CountryName","Date"
"CHN","China",2020-01-23
"VNM","Vietnam",2020-02-13
"ITA","Italy",2020-02-21
"KOR","South Korea",2020-02-23
"PAK","Pakistan",2020-02-27
"HRV","Croatia",2020-02-29
"IRQ","Iraq",2020-03-10
"AUT","Austria",2020-03-13
"BRA","Brazil",2020-03-17
"COD","Democratic Republic of Congo",2020-03-18
"LKA","Sri Lanka",2020-03-18
"AUS","Australia",2020-03-19
"KAZ","Kazakhstan",2020-03-19
"USA","United States",2020-03-19
"DEU","Germany",2020-03-20
"QAT","Qatar",2020-03-20
"VEN","Venezuela",2020-03-20
"GRC","Greece",2020-03-21
"IND","India",2020-03-22
"DZA","Algeria",2020-03-23
"NOR","Norway",2020-03-23
"AFG","Afghanistan",2020-03-24
"CAN","Canada",2020-03-24
"BMU","Bermuda",2020-03-25
"CHL","Chile",2020-03-25
"TZA","Tanzania",2020-03-28
