Country,StimulusPercentShareOfGDP
Japan,20
United States,11
Australia,9.9
Canada,8.4
Brazil,6.5
France,5
Germany,4.9
European Union,4
Russia,3
Saudi Arabia,2.8
Indonesia,2.6
China,2.5
Turkey,1.5
Italy,1.4
Argentina,1.2
India,0.8
South Korea,0.8
Mexico,0.7
