,China,Germany,United Kingdom,United States,
Stayed at home more,68,74,84,83,in %
Washed hands more,74,74,76,79,in %
Applied social distancing,58,62,79,78,in %
Avoided public places like bars and restaurants,57,60,69,69,in %
Gone to the shops less,60,63,76,68,in %
Wear protective face masks outside,78,39,13,61,in %
Travelled less,57,49,75,59,in %
Cancelled plans with family or friends,45,59,65,59,in %
Shopped online more,60,32,41,54,in %
Cleaned your house more,44,23,44,44,in %
Avoided certain shopping times,29,37,42,42,in %
Avoided public transport,61,52,64,37,in %
Used less cash,47,39,60,36,in %
Worked from home,38,24,32,30,in %
Reduced exercise regime,24,15,19,19,in %
I have not made any changes to my lifestyle,1,4,1,2,in %
