,China,Germany,United Kingdom,United States,
Stayed at home more,76,80,85,82,in %
Washed hands more,79,80,82,79,in %
Applied social distancing,57,64,78,78,in %
Avoided public places like bars and restaurants,64,63,67,70,in %
Gone to the shops less,64,66,78,69,in %
Cancelled plans with family or friends,56,64,64,58,in %
Travelled less,60,49,70,53,in %
Cleaned your house more,47,26,41,47,in %
Shopped online more,62,25,33,44,in %
Avoided certain shopping times,31,38,37,39,in %
Avoided public transport,66,54,62,35,in %
Used less cash,44,44,55,33,in %
Worked from home,40,27,31,29,in %
Reduced exercise regime,24,23,20,16,in %
I have not made any changes to my lifestyle,1,3,1,3,in %
