Date,State,Positive,Negative,Pending,HospitalizedCurrently,HospitalizedCumulative,InICUcurrently,InICUcumulative,OnVentilatorCurrently,OnVentilatorCumulative,Recovered,Deaths,DataQualityGrade,LastUpdateET
20200515,AZ,"13,169","128,832",,808,"1,629",313,,222,,3145,651,A+,5/15/2020 00:00
20200515,CA,"74,936","1,058,970",,"4,519",,"1,324",,,,,3108,B,5/14/2020 00:00
20200515,CO,"20,838","97,192",,685,"3,789",,,,,3217,1091,A,5/14/2020 00:00
20200515,CT,"36,085","119,823",,"1,033","10,946",,,,,6264,3285,B,5/14/2020 20:30
20200515,DC,"6,871","27,468",,393,,,,90,,975,368,A,5/14/2020 00:00
20200515,DE,"7,373","30,905",,269,,,,,,3210,271,B,5/14/2020 18:00
20200515,FL,"43,210","565,627","1,228",472,"7,993",232,,,,,1991,A+,5/14/2020 12:33
20200515,GA,"36,681","265,193",,,"6,438",,1534,,,,1557,A+,5/15/2020 13:00
20200515,GU,154,"4,361",,,,,,,,124,5,C,5/15/2020 04:45
20200515,HI,637,"38,139",,,81,,,,,564,17,B,5/14/2020 18:00
20200515,IA,"14,049","79,517",,387,,130,,87,,6561,336,A+,5/14/2020 00:00
20200515,ID,"2,351","32,394",,,212,,89,,,1573,72,B,5/14/2020 19:00
20200515,IL,"90,369","448,233",,"4,367",,"1,129",,675,,,4058,A,5/15/2020 00:00
20200515,IN,"26,655","138,793",,"1,294","4,389",492,990,213,,,1691,A+,5/14/2020 23:59
20200515,KS,"7,886","53,706",,,724,,246,,112,443,172,A,5/15/2020 10:00
20200515,KY,"7,225","114,053",,385,"1,887",220,794,,,2712,328,A+,5/14/2020 17:00
20200515,LA,"33,837","219,352",,"1,091",,,,132,,22608,2448,B,5/15/2020 13:00
20200515,MA,"83,421","352,258",,"2,767","8,314",749,,,,,5592,A+,5/14/2020 10:00
20200515,MD,"36,986","145,840",,"1,496","6,679",598,,,,2685,1911,,5/15/2020 10:00
20200515,ME,"1,603","22,092",,35,211,16,,8,,993,69,B,5/15/2020 12:00
20200515,MI,"50,079","307,417",,"1,256",,532,,440,,22686,4825,A+,5/14/2020 11:00
20200515,MN,"14,240","120,429",,498,"1,985",200,679,,,8820,692,A+,5/14/2020 17:00
20200515,MO,"10,456","124,002",,812,,,,120,,,576,B,5/15/2020 15:00
20200515,MP,19,"3,306",,,,,,,,12,2,D,5/15/2020 00:00
20200515,MS,"10,801","96,022",,573,"1,712",172,,81,,6268,493,A,5/14/2020 19:00
20200515,MT,466,"24,952",,3,63,,,,,431,16,B,5/15/2020 00:00
20200515,NC,"17,129","214,418",,492,,,,,,9115,641,A,5/15/2020 11:00
20200515,ND,"1,761","49,954",,35,130,,,,,1071,42,C,5/15/2020 13:00
20200515,NE,"9,416","47,799",,,,,,,,,113,C,5/14/2020 15:45
20200515,NH,"3,464","39,148",543,115,335,,109,,,1247,159,B,5/14/2020 09:00
20200515,NJ,"143,905","319,067",,"3,823",,"1,127",,865,,15642,10138,A+,5/15/2020 13:00
20200515,NM,"5,503","114,098",,209,886,,,,,1576,242,C,5/14/2020 17:55
20200515,NV,"6,614","65,532",,425,,115,,73,,272,339,B,5/15/2020 12:00
20200515,NY,"345,813","992,235",,"6,394","74,751","2,156",,1774,,60302,22304,A,5/14/2020 00:00
20200515,OH,"26,954","219,228",,944,"4,791",370,1277,260,,,1581,B,5/15/2020 14:00
20200515,OK,"5,086","113,106",,215,863,98,,,,3801,285,A+,5/15/2020 00:00
20200515,OR,"3,541","85,965",,161,691,46,,19,,1406,137,A+,5/15/2020 11:00
20200515,PA,"60,622","259,210",,"1,934",,,,431,,,4342,C,5/15/2020 00:00
20200515,PR,"2,542",,,147,,18,,3,,,122,B,5/15/2020 05:51
20200515,RI,"12,219","92,759",,272,"1,372",63,,41,,919,479,A+,5/15/2020 12:00
20200515,SC,"8,407","101,209",,,"1,421",,,,,5076,380,A,5/15/2020 16:00
20200515,SD,"3,887","23,527",,80,296,,,,,2574,44,B,5/14/2020 18:00
20200515,TN,"16,970","292,786",,,"1,454",,,,,9280,290,A,5/15/2020 15:00
20200515,TX,"45,198","600,794",,"1,716",,,,,,25454,1272,A,5/15/2020 16:15
20200515,UT,"6,913","156,305",,161,566,,190,,83,3719,77,B,5/15/2020 10:27
20200515,VA,"28,672","149,342",458,"1,511","5,316",362,,195,,3805,977,A+,5/14/2020 17:00
20200515,VI,69,"1,194",37,,,,,,,61,6,C,5/14/2020 19:04
20200515,VT,933,"22,272",,17,,,,,,796,53,B,5/15/2020 00:00
20200515,WA,"17,773","250,158",,374,,114,,,,,983,A,5/14/2020 02:59
20200515,WI,"11,685","128,657",191,548,"1,977",113,485,,,6250,445,A+,5/15/2020 00:00
20200515,WV,"1,441","69,495",,57,,15,,8,,870,62,B,5/15/2020 10:00
20200515,WY,715,"15,307",,8,68,,,,,487,7,B,5/14/2020 00:00
20200514,AK,387,"31,375",,12,,,,,,339,10,B,5/14/2020 00:00
20200514,AL,"10,968","131,017",,,"1,350",,489,,291,,467,B,5/14/2020 00:00
20200514,AR,"4,236","71,582",,64,509,,,13,100,3277,97,A,5/14/2020 08:20
20200514,AS,0,105,,,,,,,,,0,C,05-10-20 00:00
20200514,AZ,"12,674","121,664",,781,"1,636",323,,201,,3074,624,A+,5/14/2020 00:00
20200514,CA,"73,164","1,031,487",,"4,655",,"1,324",,,,,3032,B,5/14/2020 00:00
20200514,CO,"20,475","94,044",,685,"3,735",,,,,3217,1062,A,5/14/2020 00:00
20200514,CT,"35,464","114,098",,"1,103","10,946",,,,,6264,3219,B,5/13/2020 20:30
20200514,DC,"6,736","26,263",,397,,,,90,,966,358,A,5/13/2020 00:00
