Category,Rate,Hotwords
confident,0.22343945390925257,"[('good', 12531), ('stay', 10352), ('pandemic', 9928), ('fight', 8695), ('great', 7972), ('support', 7745), ('health', 7555), ('safe', 7253), ('work', 7234), ('love', 6483), ('lockdown', 6154), ('easter', 5806), ('hope', 5542), ('free', 5401), ('family', 4995), ('life', 4836), ('stayhome', 4769), ('god', 4749), ('care', 4708), ('working', 4705)]"
optimistic,0.34196409109160786,"[('pandemic', 25123), ('fight', 16329), ('health', 15173), ('good', 14867), ('stay', 14281), ('support', 13470), ('crisis', 12060), ('work', 11393), ('safe', 10350), ('spread', 10156), ('lockdown', 9356), ('great', 8928), ('hope', 8849), ('working', 8310), ('care', 7989), ('response', 7784), ('patients', 7634), ('workers', 7077), ('free', 7048), ('life', 7019)]"
anticipating,0.3661802328916423,"[('pandemic', 23304), ('health', 12156), ('lockdown', 11847), ('testing', 10160), ('crisis', 9962), ('fight', 9827), ('spread', 9171), ('response', 8454), ('april', 8339), ('china', 7799), ('work', 7704), ('support', 7499), ('patients', 7235), ('stay', 6875), ('test', 6613), ('live', 6485), ('government', 6339), ('good', 6246), ('read', 6142), ('business', 5991)]"
empathetic,0.022475764354958985,"[('love', 4537), ('family', 1723), ('good', 1652), ('happy', 1646), ('life', 1250), ('safe', 1225), ('stay', 1212), ('great', 1210), ('easter', 1175), ('support', 1137), ('work', 1051), ('god', 1048), ('health', 973), ('hope', 827), ('fight', 773), ('times', 764), ('birthday', 754), ('stayhome', 724), ('working', 698), ('friday', 693)]"
fearful,0.232517638960592,"[('pandemic', 28049), ('deaths', 16232), ('death', 11915), ('health', 9870), ('crisis', 9681), ('spread', 8113), ('coronavirus:', 7949), ('outbreak', 7796), ('lockdown', 7014), ('country', 6487), ('china', 6353), ('risk', 6115), ('stay', 5802), ('toll', 5487), ('died', 5168), ('government', 5100), ('flu', 4877), ('care', 4790), ('york', 4685), ('patients', 4593)]"
sad,0.29288475879079906,"[('deaths', 24292), ('death', 17897), ('pandemic', 15756), ('health', 12832), ('died', 12699), ('positive', 10955), ('patients', 9973), ('crisis', 9504), ('hospital', 9266), ('lockdown', 8519), ('care', 8482), ('tested', 7827), ('die', 7584), ('work', 7188), ('country', 7093), ('total', 6819), ('number', 6680), ('family', 6659), ('workers', 6618), ('toll', 6612)]"
angry,0.30759823323581714,"[('deaths', 15953), ('china', 14707), ('pandemic', 13421), ('death', 11624), ('government', 10622), ('dont', 10189), ('health', 9522), ('testing', 9478), ('country', 9250), ('lockdown', 9184), ('response', 7632), ('crisis', 7130), ('spread', 7002), ('work', 6990), ('media', 6568), ('americans', 6482), ('care', 6401), ('died', 6356), ('die', 6302), ('shit', 6263)]"
disgusting,0.32149371880915506,"[('deaths', 17923), ('pandemic', 15017), ('china', 14658), ('death', 12753), ('government', 11012), ('dont', 10673), ('health', 10275), ('testing', 9937), ('country', 9707), ('lockdown', 8250), ('crisis', 7638), ('americans', 7553), ('response', 7357), ('spread', 7158), ('work', 7156), ('die', 7102), ('died', 6995), ('care', 6962), ('media', 6953), ('patients', 6663)]"
pessimistic,0.04475305455171227,"[('pandemic', 3181), ('sad', 2253), ('crisis', 2149), ('deaths', 2012), ('death', 1950), ('health', 1832), ('die', 1782), ('died', 1722), ('economy', 1701), ('economic', 1395), ('dying', 1317), ('work', 1235), ('life', 1190), ('dont', 1178), ('lost', 1145), ('lockdown', 1086), ('care', 1041), ('country', 1026), ('patients', 998), ('heart', 913)]"
surprising,0.01744622268112201,"[('deaths', 893), ('death', 629), ('china', 583), ('positive', 562), ('wow', 550), ('surprised', 459), ('shocking', 446), ('test', 423), ('health', 369), ('patients', 358), ('dr', 351), ('tested', 343), ('wuhan', 319), ('question', 286), ('amazing', 282), ('dont', 277), ('understand', 249), ('thought', 246), ('pandemic', 241), ('live', 240)]"
trusting,0.014996845063959157,"[('fight', 1141), ('safe', 947), ('times', 920), ('stay', 849), ('good', 815), ('work', 806), ('crisis', 753), ('great', 739), ('pandemic', 714), ('support', 706), ('god', 678), ('health', 658), ('hope', 563), ('business', 464), ('faith', 441), ('team', 441), ('working', 438), ('india', 419), ('read', 385), ('leadership', 383)]"
