Category,Rate,Hotwords
confident,0.23772966864145645,"[('easter', 24884), ('support', 15860), ('happy', 11889), ('stay', 9014), ('good', 8087), ('fight', 7001), ('pandemic', 6946), ('hope', 6637), ('safe', 6630), ('ill', 6474), ('love', 6275), ('great', 6227), ('lockdown', 6057), ('delivered', 5986), ('covid_19', 5921), ('deliver', 5918), ('god', 5795), ('stayhome', 5668), ('officials', 5480), ('life', 5409)]"
optimistic,0.32906443229943816,"[('easter', 24267), ('support', 18375), ('pandemic', 14501), ('fight', 12220), ('stay', 11579), ('happy', 11179), ('good', 10082), ('lockdown', 9567), ('hope', 9385), ('health', 8981), ('safe', 8535), ('god', 7322), ('work', 7320), ('spread', 7139), ('life', 7051), ('covid_19', 6873), ('crisis', 6784), ('great', 6615), ('love', 5743), ('ill', 5742)]"
anticipating,0.3265569495825277,"[('pandemic', 12866), ('support', 12447), ('lockdown', 10208), ('health', 7332), ('fight', 7220), ('china', 6845), ('easter', 6645), ('spread', 6051), ('testing', 5824), ('crisis', 5672), ('government', 5092), ('covid_19', 5067), ('india', 4970), ('patients', 4962), ('vaccine', 4908), ('app', 4893), ('work', 4836), ('april', 4827), ('officials', 4786), ('deaths', 4764)]"
empathetic,0.03047238973109308,"[('easter', 8221), ('happy', 4927), ('love', 4720), ('family', 2057), ('stay', 1880), ('safe', 1782), ('god', 1577), ('hope', 1551), ('stayhome', 1472), ('happyeaster', 1457), ('great', 1136), ('good', 1078), ('covid_19', 1005), ('life', 961), ('friends', 940), ('times', 900), ('eastersunday', 864), ('loved', 811), ('jesus', 777), ('support', 718)]"
fearful,0.2319141922933166,"[('pandemic', 18059), ('deaths', 14484), ('death', 10188), ('coronavirus:', 7274), ('health', 6951), ('crisis', 6426), ('lockdown', 5909), ('china', 5904), ('government', 5660), ('outbreak', 5586), ('country', 5540), ('spread', 5468), ('toll', 5405), ('stay', 4592), ('uk', 4565), ('risk', 4474), ('patients', 4453), ('flu', 4100), ('easter', 3918), ('fear', 3896)]"
sad,0.30757866049802374,"[('deaths', 22262), ('death', 15445), ('pandemic', 10772), ('died', 10683), ('hospital', 10272), ('positive', 9361), ('patients', 9334), ('health', 9133), ('uk', 7764), ('lockdown', 7671), ('country', 7024), ('toll', 6906), ('crisis', 6747), ('total', 6717), ('die', 6315), ('care', 6213), ('government', 5997), ('number', 5847), ('china', 5841), ('tested', 5841)]"
angry,0.31430501231668445,"[('deaths', 14239), ('china', 13432), ('government', 10647), ('pandemic', 9864), ('death', 9744), ('dont', 8333), ('country', 7945), ('lockdown', 7717), ('response', 7575), ('uk', 6231), ('health', 6210), ('crisis', 5960), ('patients', 5596), ('spread', 5586), ('die', 5417), ('care', 5226), ('chinese', 5114), ('work', 5009), ('media', 5001), ('shit', 4933)]"
disgusting,0.3298987883443256,"[('deaths', 16191), ('china', 13281), ('government', 11062), ('pandemic', 10989), ('death', 10774), ('dont', 8851), ('country', 8415), ('response', 8199), ('lockdown', 7355), ('health', 6904), ('uk', 6192), ('crisis', 6179), ('die', 6084), ('patients', 6021), ('care', 5760), ('spread', 5698), ('media', 5354), ('died', 5339), ('chinese', 5236), ('work', 5233)]"
pessimistic,0.04687992041979734,"[('sad', 2333), ('pandemic', 2270), ('deaths', 1595), ('died', 1531), ('crisis', 1485), ('death', 1468), ('die', 1351), ('health', 1311), ('patients', 1223), ('economy', 1140), ('life', 1079), ('lockdown', 1056), ('dont', 944), ('country', 913), ('dying', 865), ('work', 833), ('dies', 792), ('lost', 781), ('government', 755), ('hospital', 725)]"
surprising,0.01782461159033854,"[('deaths', 656), ('china', 613), ('patients', 516), ('pandemic', 488), ('death', 488), ('positive', 454), ('numbers', 412), ('wow', 401), ('surprised', 368), ('strange', 296), ('shocking', 275), ('open', 256), ('dont', 245), ('number', 238), ('sweden', 222), ('government', 220), ('stunning', 218), ('test', 217), ('uk', 209), ('surprise', 207)]"
trusting,0.013844129929984725,"[('fight', 921), ('god', 750), ('easter', 743), ('hope', 650), ('safe', 621), ('stay', 571), ('good', 562), ('times', 541), ('faith', 538), ('work', 502), ('great', 502), ('pandemic', 483), ('crisis', 448), ('working', 379), ('life', 374), ('health', 343), ('jesus', 330), ('support', 326), ('christ', 306), ('overcome', 306)]"
