Category,Rate,Hotwords
confident,0.21080203886032936,"[('stay', 16958), ('good', 14272), ('safe', 12434), ('pandemic', 11839), ('great', 11174), ('support', 10887), ('fight', 10566), ('work', 10346), ('love', 9784), ('health', 9426), ('free', 8618), ('hope', 8108), ('working', 7407), ('god', 7100), ('live', 6649), ('times', 6292), ('covid_19', 6222), ('spread', 6217), ('positive', 6185), ('care', 5786)]"
optimistic,0.32674977283760065,"[('pandemic', 29775), ('stay', 25267), ('fight', 22885), ('health', 19447), ('support', 19042), ('good', 17828), ('safe', 17336), ('crisis', 16927), ('spread', 16723), ('work', 15852), ('hope', 13592), ('great', 12241), ('response', 11391), ('relief', 11281), ('working', 11251), ('free', 11115), ('care', 10923), ('government', 10690), ('outbreak', 9856), ('god', 9775)]"
anticipating,0.36208363932834614,"[('pandemic', 29746), ('china', 17124), ('health', 16728), ('crisis', 14623), ('spread', 14298), ('fight', 14123), ('stay', 12609), ('response', 12067), ('lockdown', 12044), ('outbreak', 11966), ('test', 11554), ('positive', 11395), ('work', 10944), ('support', 10748), ('government', 10603), ('testing', 10526), ('patients', 9982), ('free', 9848), ('read', 9144), ('business', 9066)]"
empathetic,0.018794576731101957,"[('love', 6852), ('support', 1741), ('stay', 1691), ('safe', 1649), ('family', 1647), ('friends', 1561), ('great', 1511), ('work', 1391), ('happy', 1390), ('good', 1295), ('times', 1269), ('working', 1149), ('birthday', 1115), ('god', 1112), ('hope', 1101), ('amazing', 1067), ('covid_19', 928), ('fight', 904), ('nhs', 866), ('care', 833)]"
fearful,0.26045569399668905,"[('pandemic', 37216), ('deaths', 18456), ('health', 18345), ('outbreak', 15967), ('china', 14241), ('crisis', 14173), ('spread', 13489), ('stay', 13171), ('country', 12158), ('positive', 11763), ('death', 11567), ('yemen', 11418), ('coronavirus:', 11188), ('confirmed', 9397), ('5yearsofwaronyemen', 9350), ('number', 8583), ('risk', 8450), ('lockdown', 8367), ('government', 8204), ('patients', 8081)]"
sad,0.2906122804615442,"[('positive', 30946), ('deaths', 22195), ('health', 22175), ('tested', 19701), ('pandemic', 19420), ('death', 15518), ('china', 14476), ('hospital', 13667), ('crisis', 13618), ('country', 13557), ('died', 12561), ('confirmed', 12140), ('boris', 12070), ('patients', 11953), ('stay', 11887), ('work', 11630), ('test', 11443), ('tests', 10985), ('die', 10868), ('johnson', 10844)]"
angry,0.304231911027023,"[('china', 25748), ('pandemic', 17344), ('country', 16036), ('dont', 15963), ('health', 14664), ('government', 14331), ('shit', 12045), ('spread', 11425), ('deaths', 10988), ('work', 10917), ('response', 10740), ('crisis', 10653), ('yemen', 10564), ('president', 10168), ('die', 9835), ('fight', 9613), ('patients', 9376), ('5yearsofwaronyemen', 9287), ('test', 9228), ('lockdown', 8713)]"
disgusting,0.3185384744644569,"[('china', 25656), ('pandemic', 19270), ('dont', 16780), ('country', 16754), ('health', 15097), ('government', 14790), ('shit', 11905), ('deaths', 11759), ('spread', 11759), ('president', 11735), ('die', 11019), ('crisis', 11015), ('yemen', 10894), ('work', 10536), ('response', 10145), ('patients', 10061), ('test', 9812), ('5yearsofwaronyemen', 9793), ('death', 8963), ('testing', 8641)]"
pessimistic,0.04142990950845791,"[('pandemic', 3743), ('sad', 3361), ('health', 2889), ('crisis', 2664), ('die', 2352), ('hospital', 1981), ('country', 1961), ('work', 1885), ('dont', 1835), ('died', 1565), ('patients', 1487), ('death', 1463), ('life', 1387), ('economy', 1382), ('care', 1368), ('dying', 1276), ('deaths', 1227), ('job', 1223), ('bad', 1207), ('positive', 1206)]"
surprising,0.017913155503553692,"[('positive', 1947), ('china', 1325), ('boris', 1213), ('tested', 1154), ('test', 943), ('confirmed', 890), ('wow', 861), ('johnson', 847), ('surprised', 724), ('deaths', 639), ('number', 587), ('country', 584), ('patients', 578), ('tests', 545), ('dont', 504), ('shocking', 495), ('italy', 458), ('surprise', 455), ('understand', 417), ('days', 416)]"
trusting,0.013427476070152728,"[('fight', 1661), ('safe', 1562), ('stay', 1446), ('god', 1218), ('work', 1103), ('times', 1073), ('good', 1071), ('support', 1031), ('great', 1015), ('hope', 1012), ('crisis', 958), ('health', 889), ('pandemic', 849), ('working', 682), ('team', 641), ('read', 512), ('business', 496), ('learn', 466), ('faith', 459), ('country', 456)]"
