Category,Rate,Hotwords
anger,0.2832,"[('death', 2796), ('test', 2683), ('dont', 2237), ('case', 2177), ('pandemic', 2094), ('spread', 1754), ('die', 1702), ('china', 1603), ('patient', 1564), ('hospital', 1407), ('work', 1399), ('american', 1354), ('news', 1326), ('response', 1280), ('country', 1264), ('mask', 1231), ('fuck', 1217), ('crisis', 1194), ('bad', 1187), ('health', 1179)]"
anticipation,0.0041,"[('love', 247), ('happy', 78), ('hope', 49), ('family', 48), ('beautiful', 40), ('life', 39), ('stay', 38), ('great', 35), ('birthday', 35), ('today', 33), ('good', 31), ('god', 30), ('work', 30), ('safe', 29), ('support', 26), ('smile', 26), ('feel', 25), ('friend', 25), ('bless', 24), ('enjoy', 22)]"
disgust,0.0,[]
fear,0.0031,"[('sad', 147), ('die', 37), ('bad', 37), ('feel', 36), ('work', 34), ('life', 33), ('family', 31), ('friend', 30), ('ive', 27), ('lose', 25), ('love', 24), ('dont', 21), ('tire', 19), ('heart', 19), ('mom', 19), ('test', 19), ('depression', 17), ('news', 17), ('ill', 16), ('week', 16)]"
confident,0.0056,"[('test', 150), ('positive', 41), ('case', 33), ('work', 28), ('spread', 26), ('vaccine', 24), ('start', 24), ('wait', 23), ('mask', 22), ('hope', 21), ('news', 20), ('happen', 20), ('watch', 20), ('april', 20), ('china', 19), ('confirm', 19), ('movie', 19), ('game', 18), ('plan', 17), ('early', 17)]"
empathetic,0.2514,"[('test', 2207), ('death', 2196), ('dont', 2069), ('pandemic', 1931), ('spread', 1678), ('china', 1543), ('die', 1370), ('american', 1340), ('case', 1323), ('patient', 1319), ('response', 1299), ('work', 1267), ('fuck', 1214), ('news', 1194), ('country', 1188), ('hospital', 1184), ('mask', 1171), ('crisis', 1132), ('call', 1115), ('bad', 1081)]"
optimism,0.0474,"[('death', 955), ('test', 835), ('case', 821), ('patient', 492), ('symptom', 450), ('pandemic', 442), ('hospital', 390), ('flu', 360), ('die', 351), ('spread', 336), ('infect', 315), ('health', 306), ('report', 306), ('confirm', 300), ('dont', 300), ('news', 287), ('positive', 282), ('bad', 278), ('number', 268), ('risk', 266)]"
pessimism,0.0,[]
sadness,0.0834,"[('die', 1369), ('death', 1069), ('bad', 818), ('dont', 768), ('test', 765), ('work', 732), ('patient', 668), ('hospital', 665), ('pandemic', 550), ('life', 464), ('case', 449), ('family', 438), ('feel', 430), ('health', 426), ('sick', 425), ('lose', 420), ('stay', 387), ('symptom', 379), ('job', 379), ('flu', 367)]"
surprise,0.1867,"[('test', 1606), ('pandemic', 1583), ('work', 1369), ('stay', 1171), ('case', 1161), ('fight', 1090), ('update', 982), ('good', 929), ('patient', 853), ('great', 853), ('health', 806), ('life', 787), ('news', 778), ('support', 770), ('spread', 769), ('today', 768), ('love', 738), ('crisis', 731), ('positive', 722), ('family', 721)]"
trust,0.1351,"[('pandemic', 1360), ('work', 1252), ('stay', 1155), ('test', 965), ('fight', 950), ('good', 879), ('great', 810), ('support', 768), ('life', 761), ('patient', 738), ('health', 736), ('love', 718), ('crisis', 718), ('family', 690), ('hope', 671), ('spread', 639), ('dont', 625), ('safe', 618), ('today', 606), ('care', 581)]"
