Category,Rate,Hotwords
anger,0.1466,"[('stay', 164), ('work', 160), ('spread', 122), ('test', 122), ('health', 119), ('safe', 118), ('friend', 117), ('support', 117), ('dont', 114), ('pandemic', 112), ('share', 111), ('good', 106), ('great', 96), ('fight', 94), ('update', 89), ('family', 88), ('life', 83), ('protect', 79), ('social', 78), ('love', 77)]"
anticipation,0.0,[]
disgust,0.2345,"[('test', 275), ('dont', 265), ('spread', 235), ('close', 228), ('work', 181), ('school', 179), ('country', 175), ('government', 175), ('fuck', 170), ('outbreak', 145), ('death', 140), ('pandemic', 138), ('case', 136), ('shit', 128), ('die', 122), ('news', 118), ('bad', 117), ('cancel', 113), ('public', 109), ('health', 106)]"
fear,0.0,[]
confident,0.0522,"[('test', 96), ('death', 80), ('panic', 79), ('case', 70), ('flu', 67), ('symptom', 62), ('dont', 61), ('spread', 52), ('die', 48), ('bad', 44), ('infect', 42), ('health', 39), ('feel', 35), ('pandemic', 35), ('crisis', 35), ('number', 34), ('news', 34), ('high', 34), ('rate', 32), ('school', 32)]"
empathetic,0.0903,"[('work', 118), ('die', 116), ('close', 111), ('dont', 104), ('school', 98), ('bad', 90), ('cancel', 89), ('death', 88), ('test', 73), ('flu', 70), ('feel', 65), ('sick', 61), ('symptom', 59), ('pandemic', 57), ('country', 55), ('outbreak', 53), ('stay', 47), ('crisis', 45), ('case', 45), ('health', 44)]"
optimism,0.2668,"[('test', 333), ('dont', 284), ('spread', 244), ('close', 243), ('work', 200), ('case', 194), ('school', 193), ('country', 192), ('government', 177), ('death', 176), ('fuck', 170), ('outbreak', 165), ('pandemic', 145), ('die', 141), ('news', 138), ('bad', 128), ('shit', 128), ('health', 121), ('cancel', 120), ('infect', 118)]"
pessimism,0.0058,"[('test', 11), ('vaccine', 6), ('watch', 5), ('wait', 5), ('movie', 4), ('happen', 4), ('story', 4), ('month', 4), ('confirm', 4), ('early', 3), ('work', 3), ('race', 3), ('today', 3), ('quick', 3), ('open', 3), ('risk', 3), ('lot', 3), ('start', 3), ('stats', 3), ('update', 3)]"
sadness,0.1975,"[('work', 184), ('test', 182), ('stay', 168), ('update', 137), ('health', 133), ('spread', 130), ('support', 128), ('pandemic', 127), ('good', 121), ('dont', 120), ('friend', 119), ('safe', 115), ('news', 114), ('share', 113), ('fight', 104), ('great', 100), ('today', 100), ('start', 94), ('family', 87), ('protect', 85)]"
surprise,0.0042,"[('love', 23), ('happy', 9), ('stay', 9), ('watch', 7), ('friend', 7), ('glad', 5), ('live', 5), ('great', 5), ('family', 5), ('care', 4), ('share', 4), ('safe', 4), ('life', 4), ('support', 3), ('good', 3), ('grateful', 3), ('video', 3), ('sing', 3), ('beautiful', 3), ('eat', 3)]"
trust,0.0021,"[('sad', 7), ('feel', 6), ('bc', 6), ('ive', 5), ('life', 5), ('family', 4), ('hard', 4), ('job', 4), ('stress', 4), ('bad', 4), ('anxiety', 4), ('work', 3), ('sick', 3), ('dont', 3), ('cry', 3), ('gonna', 3), ('worried', 3), ('die', 3), ('dude', 2), ('fact', 2)]"
