Category,Rate,Hotwords
anger,0.1171,"[('test', 52), ('good', 41), ('stay', 37), ('work', 34), ('health', 34), ('spread', 33), ('safe', 33), ('dont', 30), ('protect', 27), ('news', 24), ('positive', 23), ('life', 22), ('hope', 22), ('cure', 20), ('school', 20), ('update', 20), ('start', 19), ('read', 19), ('pandemic', 19), ('god', 19)]"
anticipation,0.0,[]
disgust,0.2538,"[('test', 160), ('cancel', 108), ('dont', 95), ('spread', 91), ('fuck', 81), ('school', 76), ('bad', 61), ('government', 58), ('china', 55), ('country', 54), ('kill', 53), ('death', 50), ('shit', 48), ('hand', 48), ('positive', 47), ('die', 46), ('health', 46), ('infect', 44), ('close', 44), ('pandemic', 44)]"
fear,0.0,[]
confident,0.0625,"[('test', 45), ('panic', 33), ('bad', 27), ('spread', 24), ('death', 24), ('case', 23), ('dont', 22), ('fear', 21), ('flu', 21), ('pandemic', 20), ('symptom', 18), ('infect', 17), ('die', 15), ('health', 15), ('confirm', 15), ('rate', 14), ('news', 14), ('outbreak', 14), ('month', 13), ('school', 13)]"
empathetic,0.1062,"[('cancel', 73), ('bad', 53), ('test', 47), ('school', 43), ('dont', 40), ('close', 31), ('flu', 30), ('work', 29), ('die', 29), ('sick', 25), ('suspend', 24), ('pandemic', 23), ('spread', 23), ('death', 23), ('event', 21), ('week', 20), ('season', 20), ('panic', 19), ('life', 19), ('health', 19)]"
optimism,0.286,"[('test', 178), ('cancel', 115), ('dont', 97), ('spread', 96), ('school', 83), ('fuck', 81), ('bad', 65), ('china', 60), ('death', 58), ('positive', 58), ('country', 57), ('government', 57), ('kill', 57), ('close', 53), ('die', 51), ('pandemic', 51), ('work', 50), ('hand', 50), ('health', 50), ('shit', 48)]"
pessimism,0.0085,"[('test', 11), ('india', 5), ('news', 4), ('positive', 4), ('season', 3), ('time', 3), ('work', 3), ('night', 3), ('update', 3), ('nba', 2), ('bangalore', 2), ('game', 2), ('google', 2), ('year', 2), ('worker', 2), ('league', 2), ('tuesday', 2), ('italy', 2), ('track', 2), ('vision', 2)]"
sadness,0.162,"[('test', 79), ('good', 49), ('work', 40), ('positive', 37), ('stay', 35), ('dont', 34), ('safe', 33), ('health', 33), ('spread', 31), ('news', 27), ('school', 27), ('life', 26), ('update', 26), ('hope', 25), ('case', 25), ('start', 24), ('read', 23), ('live', 22), ('god', 22), ('cure', 21)]"
surprise,0.0026,"[('happy', 3), ('laugh', 3), ('beautiful', 3), ('italy', 2), ('hope', 2), ('watch', 2), ('care', 2), ('today', 2), ('country', 2), ('remember', 1), ('shouldnt', 1), ('write', 1), ('calm', 1), ('message', 1), ('live', 1), ('highlight', 1), ('pictwittercomaryqwftonu', 1), ('thought', 1), ('birthday', 1), ('hat', 1)]"
trust,0.0012,"[('epidemic', 2), ('loneliness', 2), ('die', 2), ('lose', 2), ('listing', 2), ('temporary', 1), ('scare', 1), ('mask', 1), ('undermines', 1), ('parent', 1), ('resilience', 1), ('sad', 1), ('season', 1), ('rust', 1), ('rehab', 1), ('hand', 1), ('pill', 1), ('wrestlemania', 1), ('gouge', 1), ('isolation', 1)]"
