Category,Rate,Hotwords
anger,0.1406,"[('stay', 17), ('dont', 14), ('test', 13), ('work', 12), ('watch', 11), ('spread', 11), ('love', 10), ('pandemic', 10), ('fear', 10), ('great', 10), ('cure', 9), ('school', 9), ('fight', 9), ('big', 9), ('team', 9), ('save', 8), ('good', 8), ('today', 8), ('news', 8), ('safe', 8)]"
anticipation,0.0,[]
disgust,0.2321,"[('test', 29), ('dont', 29), ('spread', 25), ('case', 24), ('shit', 21), ('cancel', 21), ('school', 20), ('fuck', 20), ('paper', 17), ('today', 15), ('public', 15), ('bad', 15), ('outbreak', 15), ('google', 14), ('government', 14), ('health', 14), ('work', 13), ('news', 13), ('china', 13), ('month', 12)]"
fear,0.0,[]
confident,0.0547,"[('test', 13), ('case', 12), ('symptom', 11), ('panic', 10), ('patient', 9), ('week', 8), ('death', 8), ('day', 8), ('work', 7), ('number', 6), ('flu', 6), ('confirm', 6), ('dont', 5), ('spread', 5), ('news', 5), ('health', 5), ('hospital', 5), ('gonna', 5), ('ive', 4), ('today', 4)]"
empathetic,0.0895,"[('cancel', 14), ('dont', 14), ('bad', 13), ('test', 10), ('today', 9), ('cough', 9), ('work', 8), ('die', 8), ('school', 8), ('lose', 8), ('life', 8), ('hand', 7), ('symptom', 7), ('flu', 7), ('shit', 7), ('change', 6), ('gonna', 6), ('ive', 6), ('kid', 6), ('china', 5)]"
optimism,0.2684,"[('test', 31), ('dont', 31), ('case', 30), ('spread', 28), ('cancel', 24), ('shit', 21), ('school', 21), ('fuck', 20), ('news', 17), ('outbreak', 17), ('government', 16), ('bad', 16), ('work', 15), ('today', 15), ('public', 15), ('paper', 15), ('health', 15), ('china', 14), ('trump', 14), ('kill', 14)]"
pessimism,0.0102,"[('lot', 3), ('test', 3), ('patient', 2), ('st', 2), ('film', 2), ('area', 2), ('greenhills', 2), ('errand', 2), ('luck', 1), ('journal', 1), ('ag', 1), ('mosque', 1), ('guess', 1), ('live', 1), ('parish', 1), ('yearbook', 1), ('long', 1), ('bit', 1), ('watch', 1), ('albuquerque', 1)]"
sadness,0.2009,"[('test', 24), ('work', 17), ('stay', 17), ('dont', 15), ('pandemic', 13), ('watch', 13), ('update', 12), ('spread', 12), ('fear', 12), ('fight', 12), ('love', 11), ('news', 11), ('team', 11), ('cure', 10), ('great', 10), ('school', 10), ('start', 10), ('today', 9), ('safe', 9), ('hope', 9)]"
surprise,0.002,"[('love', 2), ('distance', 1), ('glad', 1), ('company', 1), ('news', 1), ('thought', 1), ('facial', 1), ('big', 1), ('relationship', 1), ('treatment', 1), ('make', 1), ('glove', 1), ('idea', 1), ('service', 1), ('college', 1), ('bring', 1), ('wax', 1), ('long', 1), ('joke', 1), ('laugh', 1)]"
trust,0.0015,"[('sad', 2), ('symptom', 2), ('hungry', 1), ('jelly', 1), ('idk', 1), ('snake', 1), ('sadness', 1), ('worried', 1), ('lookin', 1), ('kinda', 1), ('program', 1), ('yall', 1), ('attention', 1), ('feel', 1), ('costco', 1), ('learn', 1), ('kid', 1), ('game', 1), ('bean', 1)]"
