Category,Rate,Hotwords
anger,0.0501,"[('death', 1206), ('case', 685), ('test', 623), ('die', 437), ('report', 332), ('patient', 316), ('china', 313), ('flu', 312), ('number', 292), ('pandemic', 292), ('hospital', 289), ('symptom', 266), ('bad', 251), ('rate', 241), ('health', 224), ('news', 218), ('dont', 215), ('fear', 213), ('high', 212), ('positive', 207)]"
anticipation,0.2448,"[('death', 2557), ('test', 1620), ('dont', 1571), ('die', 1374), ('china', 1358), ('pandemic', 1172), ('case', 1106), ('spread', 956), ('news', 944), ('country', 934), ('kill', 920), ('patient', 895), ('fuck', 894), ('work', 836), ('mask', 829), ('bad', 803), ('american', 802), ('hospital', 754), ('shit', 717), ('government', 705)]"
disgust,0.0048,"[('love', 213), ('happy', 86), ('stay', 61), ('family', 54), ('birthday', 45), ('friend', 42), ('great', 39), ('hope', 35), ('safe', 35), ('good', 29), ('bless', 28), ('god', 26), ('beautiful', 25), ('live', 25), ('work', 24), ('today', 24), ('enjoy', 23), ('care', 22), ('watch', 20), ('pray', 20)]"
fear,0.0063,"[('test', 112), ('case', 43), ('positive', 32), ('wait', 25), ('vaccine', 25), ('movie', 24), ('start', 23), ('confirm', 21), ('news', 21), ('work', 20), ('cure', 20), ('watch', 20), ('good', 18), ('thought', 17), ('today', 17), ('mask', 16), ('year', 15), ('real', 14), ('hope', 14), ('game', 14)]"
confident,0.0,[]
empathetic,0.136,"[('stay', 809), ('work', 759), ('pandemic', 743), ('good', 736), ('fight', 668), ('life', 643), ('test', 614), ('love', 600), ('dont', 561), ('patient', 533), ('great', 528), ('hope', 508), ('family', 480), ('safe', 477), ('mask', 451), ('today', 444), ('spread', 441), ('support', 416), ('health', 412), ('crisis', 408)]"
optimism,0.1877,"[('test', 1041), ('pandemic', 934), ('work', 853), ('stay', 821), ('case', 816), ('good', 805), ('fight', 756), ('life', 664), ('patient', 655), ('love', 619), ('update', 619), ('dont', 605), ('mask', 588), ('great', 565), ('news', 560), ('today', 551), ('watch', 534), ('hope', 521), ('family', 498), ('safe', 487)]"
pessimism,0.0879,"[('death', 1476), ('die', 1353), ('bad', 627), ('test', 591), ('dont', 583), ('hospital', 540), ('work', 428), ('patient', 418), ('life', 411), ('flu', 356), ('family', 342), ('rate', 336), ('case', 327), ('pandemic', 321), ('lose', 306), ('feel', 300), ('health', 297), ('sick', 290), ('stay', 290), ('care', 275)]"
sadness,0.0,[]
surprise,0.2795,"[('death', 3278), ('test', 1987), ('case', 1808), ('die', 1724), ('dont', 1695), ('china', 1428), ('pandemic', 1261), ('patient', 1090), ('news', 1088), ('spread', 1021), ('country', 1001), ('kill', 966), ('hospital', 965), ('work', 904), ('fuck', 891), ('mask', 875), ('bad', 874), ('american', 869), ('number', 854), ('report', 794)]"
trust,0.003,"[('sad', 134), ('life', 36), ('feel', 35), ('family', 34), ('die', 34), ('bad', 28), ('lose', 24), ('dont', 23), ('death', 22), ('ive', 20), ('cry', 17), ('work', 17), ('job', 17), ('friend', 16), ('hospital', 16), ('test', 15), ('love', 15), ('today', 15), ('sick', 14), ('news', 14)]"
