Category,Rate,Hotwords
confident,0.2088888888888889,"[('read', 5), ('pandemic', 5), ('free', 4), ('work', 4), ('small', 3), ('efforts', 3), ('service', 3), ('boy', 3), ('spread', 3), ('company', 3), ('impact', 3), ('community', 3), ('support', 3), ('join', 3), ('health', 3), ('sites', 3), ('working', 2), ('businesses', 2), ('distancing', 2), ('more:', 2)]"
optimistic,0.39555555555555555,"[('pandemic', 11), ('county', 8), ('health', 7), ('work', 6), ('emergency', 5), ('spread', 5), ('crisis', 4), ('read', 4), ('life', 4), ('join', 4), ('free', 4), ('impact', 4), ('relief', 3), ('working', 3), ('small', 3), ('response', 3), ('efforts', 3), ('financial', 3), ('announced', 3), ('center', 3)]"
anticipating,0.4488888888888889,"[('health', 9), ('pandemic', 8), ('public', 5), ('task', 4), ('hospitals', 4), ('business', 4), ('patients', 4), ('county', 4), ('join', 4), ('support', 4), ('market', 4), ('briefing', 3), ('force', 3), ('house', 3), ('watch', 3), ('working', 3), ('businesses', 3), ('read', 3), ('friday', 3), ('hurricanes', 3)]"
empathetic,0.022222222222222223,"[('letter', 2), ('bullied', 2), ('boy', 2), ('big', 2), ('keeping', 1), ('family', 1), ('safe', 1), ('priority', 1), ('hyundai', 1), ('donated', 1), ('$4', 1), ('support', 1), ('drive', 1), ('testing', 1), ('centers', 1), ('country', 1), ('you:', 1), ('iheartradio', 1), ('responder', 1), ('fridays', 1)]"
fearful,0.2577777777777778,"[('pandemic', 15), ('health', 4), ('patients', 4), ('deaths', 4), ('care', 3), ('media', 3), ('financial', 3), ('schools', 3), ('anxiety', 3), ('social', 3), ('potential', 3), ('spreading', 3), ('white', 2), ('house', 2), ('briefing', 2), ('reported', 2), ('hospitals', 2), ('rate', 2), ('lockdown', 2), ('life', 2)]"
sad,0.26222222222222225,"[('deaths', 9), ('pandemic', 4), ('reported', 4), ('weeks', 4), ('great', 4), ('life', 3), ('total', 3), ('south', 3), ('boy', 3), ('americans', 3), ('cases:', 3), ('april', 3), (':', 3), ('died', 3), ('flu', 3), ('lockdown', 3), ('dying', 2), ('area', 2), ('called', 2), ('montgomery', 2)]"
angry,0.2088888888888889,"[('president', 5), ('deaths', 5), ('care', 4), ('disinfectant', 4), ('doctors', 4), ('hospitals', 3), ('pandemic', 3), ('health', 3), ('tests', 3), ('americans', 3), ('cure', 3), ('nation', 3), ('county', 3), ('killed', 3), ('american', 3), ('thought', 2), ('largest', 2), ('friday', 2), ('dead', 2), ('target', 2)]"
disgusting,0.21777777777777776,"[('president', 6), ('care', 4), ('disinfectant', 4), ('doctors', 4), ('deaths', 4), ('hospitals', 3), ('pandemic', 3), ('bleach', 3), ('americans', 3), ('cure', 3), ('patients', 3), ('spread', 3), ('house', 3), ('killed', 3), ('great', 3), ('largest', 2), ('health', 2), ('friday', 2), ('dead', 2), ('daily', 2)]"
pessimistic,0.03111111111111111,"[('life', 2), ('care', 2), ('retirement', 2), ('scary', 1), ('times', 1), ('hanging', 1), ('thread', 1), ('mental', 1), ('illness', 1), ('financial', 1), ('pressures', 1), ('long', 1), ('roll', 1), ('bump', 1), ('dealt', 1), ('south', 1), ('threads', 1), ('start', 1), ('snapping', 1), ('colleges', 1)]"
surprising,0.0044444444444444444,"[('patient', 1), ('mlh', 1), ('undergoing', 1), ('experimental', 1), ('plasma', 1), ('procedure', 1), ('hastingsne', 1), ('giindependent', 1)]"
trusting,0.022222222222222223,"[('support', 2), ('pandemic', 2), ('congress', 1), ('addressed', 1), ('response', 1), ('invest', 1), ('long', 1), ('term', 1), ('conservation', 1), ('efforts', 1), ('rebuild', 1), ('healthier', 1), ('america', 1), ('restore', 1), ('nature', 1), ('economy', 1), ('action', 1), ('today:', 1), ('keeping', 1), ('family', 1)]"
