"Date","CountryCode","CountryName","PopulationReleased"
2020-04-07,"CZE","Czech Republic",0
2020-04-08,"CZE","Czech Republic",0
2020-04-09,"CZE","Czech Republic",0
2020-04-10,"CZE","Czech Republic",0
2020-04-11,"CZE","Czech Republic",0
2020-04-12,"CZE","Czech Republic",0
2020-04-13,"CZE","Czech Republic",0
2020-04-14,"CZE","Czech Republic",0
2020-01-01,"COD","Democratic Republic of Congo",0
2020-01-02,"COD","Democratic Republic of Congo",0
2020-01-03,"COD","Democratic Republic of Congo",0
2020-01-04,"COD","Democratic Republic of Congo",0
2020-01-05,"COD","Democratic Republic of Congo",0
2020-01-06,"COD","Democratic Republic of Congo",0
2020-01-07,"COD","Democratic Republic of Congo",0
2020-01-08,"COD","Democratic Republic of Congo",0
2020-01-09,"COD","Democratic Republic of Congo",0
2020-01-10,"COD","Democratic Republic of Congo",0
2020-01-11,"COD","Democratic Republic of Congo",0
2020-01-12,"COD","Democratic Republic of Congo",0
2020-01-13,"COD","Democratic Republic of Congo",0
2020-01-14,"COD","Democratic Republic of Congo",0
2020-01-15,"COD","Democratic Republic of Congo",0
2020-01-16,"COD","Democratic Republic of Congo",0
2020-01-17,"COD","Democratic Republic of Congo",0
2020-01-18,"COD","Democratic Republic of Congo",0
2020-01-19,"COD","Democratic Republic of Congo",0
2020-01-20,"COD","Democratic Republic of Congo",0
2020-01-21,"COD","Democratic Republic of Congo",0
2020-01-22,"COD","Democratic Republic of Congo",0
2020-01-23,"COD","Democratic Republic of Congo",0
2020-01-24,"COD","Democratic Republic of Congo",0
2020-01-25,"COD","Democratic Republic of Congo",0
2020-01-26,"COD","Democratic Republic of Congo",0
2020-01-27,"COD","Democratic Republic of Congo",0
2020-01-28,"COD","Democratic Republic of Congo",0
2020-01-29,"COD","Democratic Republic of Congo",0
2020-01-30,"COD","Democratic Republic of Congo",0
2020-01-31,"COD","Democratic Republic of Congo",0
2020-02-01,"COD","Democratic Republic of Congo",0
2020-02-02,"COD","Democratic Republic of Congo",0
2020-02-03,"COD","Democratic Republic of Congo",0
2020-02-04,"COD","Democratic Republic of Congo",0
2020-02-05,"COD","Democratic Republic of Congo",0
2020-02-06,"COD","Democratic Republic of Congo",0
2020-02-07,"COD","Democratic Republic of Congo",0
2020-02-08,"COD","Democratic Republic of Congo",0
2020-02-09,"COD","Democratic Republic of Congo",0
2020-02-10,"COD","Democratic Republic of Congo",0
2020-02-11,"COD","Democratic Republic of Congo",0
2020-02-12,"COD","Democratic Republic of Congo",0
2020-02-13,"COD","Democratic Republic of Congo",0
2020-02-14,"COD","Democratic Republic of Congo",0
2020-02-15,"COD","Democratic Republic of Congo",0
2020-02-16,"COD","Democratic Republic of Congo",0
2020-02-17,"COD","Democratic Republic of Congo",0
2020-02-18,"COD","Democratic Republic of Congo",0
2020-02-19,"COD","Democratic Republic of Congo",0
2020-02-20,"COD","Democratic Republic of Congo",0
2020-02-21,"COD","Democratic Republic of Congo",0
2020-02-22,"COD","Democratic Republic of Congo",0
2020-02-23,"COD","Democratic Republic of Congo",0
2020-02-24,"COD","Democratic Republic of Congo",0
2020-02-25,"COD","Democratic Republic of Congo",0
2020-02-26,"COD","Democratic Republic of Congo",0
2020-02-27,"COD","Democratic Republic of Congo",0
2020-02-28,"COD","Democratic Republic of Congo",0
