"State","Date","Rt","R.lo.05","R.hi.95"
"California",2020-03-26,4.04588871281397,3.22019439622045,4.9494821389306
"California",2020-03-27,3.41601673604237,2.79411438731429,4.08966967826522
"California",2020-03-28,2.81782495356318,2.33999327812409,3.33246062902358
"California",2020-03-29,2.23081435499492,1.86252965559879,2.62665343671213
"California",2020-03-30,1.81384103371009,1.5189726441114,2.13040638039024
"California",2020-03-31,1.85831117099862,1.58503726493634,2.14963613478456
"California",2020-04-01,1.8042234926326,1.55299849697442,2.07110196162574
"California",2020-04-02,1.75751773020176,1.52530500680512,2.00341268944222
"California",2020-04-03,1.70962938750747,1.49485102112562,1.93640311007895
"California",2020-04-04,1.80513774961979,1.59738200861072,2.02347040125786
"California",2020-04-05,1.67909672200542,1.49051842001757,1.87703127193365
"California",2020-04-06,1.47950960024428,1.31334680299007,1.65391650783986
"California",2020-04-07,1.52625306701908,1.36659426779637,1.69326354281465
"California",2020-04-08,1.53058045524461,1.37786439872098,1.68998863420812
"California",2020-04-09,1.43572213891387,1.29431842723347,1.58323868420382
"California",2020-04-10,1.33619963048426,1.20578593030993,1.47219787191661
"Colorado",2020-04-01,3.14677339218106,2.49398660648079,3.86227165190388
"Colorado",2020-04-02,2.63229070196985,2.12295514419154,3.18693722291442
"Colorado",2020-04-03,2.03501416735548,1.64405732334834,2.46047834434037
"Colorado",2020-04-04,1.95149606476771,1.60700891203445,2.32370071975299
"Colorado",2020-04-05,1.85416000716306,1.54481167115986,2.1869190243313
"Colorado",2020-04-06,1.45688480865625,1.20272955330468,1.73122814311109
"Colorado",2020-04-07,1.55948693926933,1.31214103901523,1.82455503100728
"Colorado",2020-04-08,1.37271054471147,1.15177738024166,1.60972554378502
"Colorado",2020-04-09,1.52938792500893,1.30540545326442,1.76810055601183
"Colorado",2020-04-10,1.53481255837808,1.31869431530643,1.76455882341355
"Connecticut",2020-04-01,6.10890064082355,4.91823977966584,7.4063335412736
"Connecticut",2020-04-02,4.8402810168517,4.01493157006648,5.72958468550591
"Connecticut",2020-04-03,3.53448477484225,2.97388994294363,4.13524590400133
"Connecticut",2020-04-04,3.18483440748782,2.74299703896585,3.65409420826886
"Connecticut",2020-04-05,2.72957834404981,2.37813665786176,3.10116624502904
"Connecticut",2020-04-06,1.86458650143487,1.611412547431,2.13311738107079
"Connecticut",2020-04-07,2.08205200966036,1.84182244014312,2.33454421557985
"Connecticut",2020-04-08,2.05212695693655,1.83192244939885,2.28274558746255
"Connecticut",2020-04-09,1.94472024106515,1.74654207629326,2.15177680868451
"Connecticut",2020-04-10,1.88625623665546,1.70600240539439,2.07406048718746
"Florida",2020-03-31,3.00483527849187,2.41040709662825,3.65344811711116
"Florida",2020-04-01,2.50997152105676,2.04402810116939,3.01552264829011
"Florida",2020-04-02,2.67059098764699,2.24496412057517,3.12687314793357
"Florida",2020-04-03,2.46182148870205,2.09523421725464,2.85295112817969
"Florida",2020-04-04,2.34933354276895,2.02807910340919,2.69022176954574
"Florida",2020-04-05,2.09665881001908,1.82324138924784,2.38596356500101
"Florida",2020-04-06,1.94409601806186,1.7048263683829,2.19644131602599
"Florida",2020-04-07,1.90040948416023,1.6827778565134,2.1290626592564
"Florida",2020-04-08,1.49003159571732,1.31169696213125,1.67782821902931
"Florida",2020-04-09,1.46726504730404,1.30168491590704,1.64110198761192
