"State","Date","Rt","R.lo.05","R.hi.95"
"Alabama",2020-04-07,1.80267922520125,1.34443892332809,2.31623492792311
"Alabama",2020-04-08,1.42736417977924,1.05986415332278,1.83987778794603
"Alabama",2020-04-09,1.41732111675688,1.07391960415782,1.79997600934371
"Alabama",2020-04-10,1.17398160974927,0.875555977654356,1.50843099050919
"Alabama",2020-04-11,1.45689009163339,1.13226811499296,1.81528110882496
"Alabama",2020-04-12,1.16190461351705,0.880387745490289,1.47560098043414
"Alabama",2020-04-13,1.09551701987578,0.830085144730796,1.39128975804456
"Alabama",2020-04-14,1.23166661124366,0.954548488708179,1.53792743325479
"Alabama",2020-04-15,1.15184478852349,0.887440962476942,1.44468617309009
"Alabama",2020-04-16,1.40786192115221,1.11820359037225,1.72509399191021
"Alabama",2020-04-17,1.38124536886576,1.09935762260089,1.68972746606439
"Arizona",2020-04-06,3.05893729663266,2.34193749755157,3.85488678359527
"Arizona",2020-04-07,2.33531155415867,1.81496107807554,2.90979187231073
"Arizona",2020-04-08,1.68110712001573,1.29521211145643,2.10850648973571
"Arizona",2020-04-09,1.48515244572905,1.15423309545437,1.85049592549191
"Arizona",2020-04-10,1.20601337174141,0.926299078095281,1.51616343045796
"Arizona",2020-04-11,1.2092997072158,0.93984543364945,1.50678416033101
"Arizona",2020-04-12,1.19855194715929,0.936485971562413,1.48731070367592
"Arizona",2020-04-13,1.04210657225776,0.802892949382057,1.30704845898289
"Arizona",2020-04-14,1.14206882330577,0.894632658800459,1.41445122657329
"Arizona",2020-04-15,1.16578660690936,0.91767809301981,1.43841726528528
"Arizona",2020-04-16,1.18489023528408,0.937019474298687,1.45679571353599
"Arizona",2020-04-17,1.29678899315736,1.04025315940272,1.57670915915201
"California",2020-03-26,4.04588871281397,3.22019439622045,4.9494821389306
"California",2020-03-27,3.41601673604237,2.79411438731429,4.08966967826522
"California",2020-03-28,2.81782495356318,2.33999327812409,3.33246062902358
"California",2020-03-29,2.23081435499492,1.86252965559879,2.62665343671213
"California",2020-03-30,1.81384103371009,1.5189726441114,2.13040638039024
"California",2020-03-31,1.85831117099862,1.58503726493634,2.14963613478456
"California",2020-04-01,1.8042234926326,1.55299849697442,2.07110196162574
"California",2020-04-02,1.75751773020176,1.52530500680512,2.00341268944222
"California",2020-04-03,1.70962938750747,1.49485102112562,1.93640311007895
"California",2020-04-04,1.80513774961979,1.59738200861072,2.02347040125786
"California",2020-04-05,1.67909672200542,1.49051842001757,1.87703127193365
"California",2020-04-06,1.47950960024428,1.31334680299007,1.65391650783986
"California",2020-04-07,1.52625306701908,1.36659426779637,1.69326354281465
"California",2020-04-08,1.53058045524461,1.37786439872098,1.68998863420812
"California",2020-04-09,1.43572213891387,1.29431842723347,1.58323868420382
"California",2020-04-10,1.33619963048426,1.20578593030993,1.47219787191661
"California",2020-04-11,1.28779624983756,1.16473226552521,1.41601510199494
"California",2020-04-12,1.23569020194351,1.11900371008228,1.35720402758735
"California",2020-04-13,1.12139415200161,1.01329688470189,1.23406063138948
"California",2020-04-14,1.04958816680246,0.94733148978416,1.1562154498095
"California",2020-04-15,1.26312780385499,1.15228209040098,1.37822198736373
"California",2020-04-16,1.38471923767974,1.2696883170181,1.5039148155684
"California",2020-04-17,1.47330271983834,1.35694595169073,1.59365703330788
"Colorado",2020-04-01,3.14677339218106,2.49398660648079,3.86227165190388
