Entity,Code,Date,DailyChangeInTotalTestsPerK
Bangladesh,BGD,07-Apr-20,0.005
Bangladesh,BGD,08-Apr-20,0.006
Bangladesh,BGD,09-Apr-20,0.007
Bangladesh,BGD,10-Apr-20,0.007
Bangladesh,BGD,11-Apr-20,0.004
Bangladesh,BGD,12-Apr-20,0.008
Bangladesh,BGD,13-Apr-20,0.01
Bangladesh,BGD,14-Apr-20,0.012
Bangladesh,BGD,15-Apr-20,0.011
Bangladesh,BGD,16-Apr-20,0.013
Bangladesh,BGD,17-Apr-20,0.013
Bangladesh,BGD,18-Apr-20,0.013
Bangladesh,BGD,19-Apr-20,0.016
Bangladesh,BGD,20-Apr-20,0.016
Bangladesh,BGD,21-Apr-20,0.018
Bangladesh,BGD,22-Apr-20,0.019
Bangladesh,BGD,23-Apr-20,0.021
Bangladesh,BGD,24-Apr-20,0.022
Bangladesh,BGD,25-Apr-20,0.02
Bangladesh,BGD,26-Apr-20,0.021
Bangladesh,BGD,27-Apr-20,0.023
Bangladesh,BGD,28-Apr-20,0.027
Bangladesh,BGD,29-Apr-20,0.03
Bangladesh,BGD,30-Apr-20,0.03
Belarus,BLR,31-Mar-20,0.106
Belarus,BLR,01-Apr-20,0.106
Belarus,BLR,09-Apr-20,0.317
Belarus,BLR,13-Apr-20,0.423
Belarus,BLR,14-Apr-20,0.41
Belarus,BLR,15-Apr-20,0.457
Belarus,BLR,18-Apr-20,0.624
Belarus,BLR,19-Apr-20,0.584
Belarus,BLR,20-Apr-20,0.459
Belarus,BLR,21-Apr-20,0.633
Belarus,BLR,22-Apr-20,0.678
Belarus,BLR,23-Apr-20,0.803
Belarus,BLR,24-Apr-20,0.876
Belarus,BLR,25-Apr-20,0.896
Belarus,BLR,26-Apr-20,0.871
Belarus,BLR,27-Apr-20,0.664
Belarus,BLR,28-Apr-20,0.765
Belgium,BEL,01-Mar-20,0.005
Belgium,BEL,02-Mar-20,0.024
Belgium,BEL,03-Mar-20,0.042
Belgium,BEL,04-Mar-20,0.057
Belgium,BEL,05-Mar-20,0.061
Belgium,BEL,06-Mar-20,0.089
Belgium,BEL,07-Mar-20,0.036
Belgium,BEL,08-Mar-20,0.036
Belgium,BEL,09-Mar-20,0.045
Belgium,BEL,10-Mar-20,0.062
Belgium,BEL,11-Mar-20,0.082
Belgium,BEL,12-Mar-20,0.116
Belgium,BEL,13-Mar-20,0.196
Belgium,BEL,14-Mar-20,0.163
Belgium,BEL,15-Mar-20,0.097
Belgium,BEL,16-Mar-20,0.134
Belgium,BEL,17-Mar-20,0.163
Belgium,BEL,18-Mar-20,0.194
Belgium,BEL,19-Mar-20,0.237
Belgium,BEL,20-Mar-20,0.22
Belgium,BEL,21-Mar-20,0.16
Belgium,BEL,22-Mar-20,0.097
Belgium,BEL,23-Mar-20,0.222
Belgium,BEL,24-Mar-20,0.272
Belgium,BEL,25-Mar-20,0.3
Belgium,BEL,26-Mar-20,0.287
Belgium,BEL,27-Mar-20,0.336
Belgium,BEL,28-Mar-20,0.269
Belgium,BEL,29-Mar-20,0.165
Belgium,BEL,30-Mar-20,0.278
Belgium,BEL,31-Mar-20,0.438
Belgium,BEL,01-Apr-20,0.393
Belgium,BEL,02-Apr-20,0.399
Belgium,BEL,03-Apr-20,0.426
Belgium,BEL,04-Apr-20,0.354
Belgium,BEL,05-Apr-20,0.214
Belgium,BEL,06-Apr-20,0.359
Belgium,BEL,07-Apr-20,0.476
Belgium,BEL,08-Apr-20,0.496
Belgium,BEL,09-Apr-20,0.502
Belgium,BEL,10-Apr-20,0.545
Belgium,BEL,11-Apr-20,0.557
Belgium,BEL,12-Apr-20,0.514
Belgium,BEL,13-Apr-20,0.472
Belgium,BEL,14-Apr-20,0.523
Belgium,BEL,15-Apr-20,0.691
Belgium,BEL,16-Apr-20,0.686
Belgium,BEL,17-Apr-20,0.754
Belgium,BEL,18-Apr-20,0.739
Belgium,BEL,19-Apr-20,0.518
Belgium,BEL,20-Apr-20,0.79
Belgium,BEL,21-Apr-20,0.692
Belgium,BEL,22-Apr-20,1.139
Belgium,BEL,23-Apr-20,1.239
Belgium,BEL,24-Apr-20,1.397
Belgium,BEL,25-Apr-20,1.291
Belgium,BEL,26-Apr-20,1.057
Belgium,BEL,27-Apr-20,1.289
Belgium,BEL,28-Apr-20,1.437
Belgium,BEL,29-Apr-20,1.65
Bolivia,BOL,22-Mar-20,0.003
Bolivia,BOL,23-Mar-20,0.008
Bolivia,BOL,25-Mar-20,0.005
Bolivia,BOL,26-Mar-20,0.009
Bolivia,BOL,27-Mar-20,0.006
Bolivia,BOL,28-Mar-20,0.004
Bolivia,BOL,29-Mar-20,0.001
Bolivia,BOL,30-Mar-20,0.011
Bolivia,BOL,31-Mar-20,0.007
Bolivia,BOL,01-Apr-20,0.005
Bolivia,BOL,02-Apr-20,0.013
Bolivia,BOL,03-Apr-20,0.011
Bolivia,BOL,04-Apr-20,0.002
Bolivia,BOL,05-Apr-20,0.026
Bolivia,BOL,06-Apr-20,0.001
Bolivia,BOL,07-Apr-20,0.001
Bolivia,BOL,08-Apr-20,0.005
Bolivia,BOL,09-Apr-20,0.041
Bolivia,BOL,10-Apr-20,0.016
Bolivia,BOL,11-Apr-20,0.015
Bolivia,BOL,12-Apr-20,0.015
Bolivia,BOL,13-Apr-20,0.014
Bolivia,BOL,14-Apr-20,0.019
Bolivia,BOL,15-Apr-20,0.027
Bolivia,BOL,16-Apr-20,0.016
Bolivia,BOL,17-Apr-20,0.013
Bolivia,BOL,18-Apr-20,0.002
Bolivia,BOL,19-Apr-20,0.046
Bolivia,BOL,20-Apr-20,0.014
