"State","Date","fips","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"Alabama",2020-03-30,"01",11,6,1,2.39789527279837,104,15,NA,NA
"Alabama",2020-03-31,"01",13,2,2,2.56494935746154,104,15,NA,NA
"Alabama",2020-04-01,"01",28,15,3,3.3322045101752,104,15,NA,NA
"Alabama",2020-04-02,"01",32,4,4,3.46573590279973,104,15,NA,NA
"Alabama",2020-04-03,"01",38,6,5,3.63758615972639,104,15,NA,NA
"Alabama",2020-04-04,"01",44,6,6,3.78418963391826,104,15,NA,NA
"Alabama",2020-04-05,"01",45,1,7,3.80666248977032,104,15,2.2884370676099,24.8934423335017
"Alabama",2020-04-06,"01",53,8,8,3.97029191355212,104,15,2.5296247527397,19.5835619949305
"Alabama",2020-04-07,"01",64,11,9,4.15888308335967,104,15,2.95260251237835,13.0650859682219
"Alabama",2020-04-08,"01",67,3,10,4.20469261939097,104,15,2.99975725976253,12.3055938452648
"Alabama",2020-04-09,"01",78,11,11,4.35670882668959,104,15,3.03111794222265,11.9664091622299
"Alabama",2020-04-10,"01",80,2,12,4.38202663467388,104,15,3.08934933456861,11.1714442212295
"Alabama",2020-04-11,"01",93,13,13,4.53259949315326,104,15,3.05915708161202,11.4253792704366
"Alabama",2020-04-12,"01",93,0,14,4.53259949315326,104,15,3.27937939091009,9.32746276311964
"Alabama",2020-04-13,"01",104,11,15,4.64439089914137,104,15,3.42103106650885,8.17224236190484
"Arizona",2020-03-27,"04",15,7,1,2.70805020110221,122,18,NA,NA
"Arizona",2020-03-28,"04",15,0,2,2.70805020110221,122,18,NA,NA
"Arizona",2020-03-29,"04",18,3,3,2.89037175789616,122,18,NA,NA
"Arizona",2020-03-30,"04",20,2,4,2.99573227355399,122,18,NA,NA
"Arizona",2020-03-31,"04",24,4,5,3.17805383034795,122,18,NA,NA
"Arizona",2020-04-01,"04",29,5,6,3.36729582998647,122,18,NA,NA
"Arizona",2020-04-02,"04",35,6,7,3.55534806148941,122,18,2.46497646344235,14.8145246835069
"Arizona",2020-04-03,"04",41,6,8,3.71357206670431,122,18,2.35868883150699,16.8502920015188
"Arizona",2020-04-04,"04",53,12,9,3.97029191355212,122,18,2.29879490098792,18.0454795871785
"Arizona",2020-04-05,"04",64,11,10,4.15888308335967,122,18,2.20768837172047,19.3578744019401
"Arizona",2020-04-06,"04",67,3,11,4.20469261939097,122,18,2.28458113613637,18.135838306922
"Arizona",2020-04-07,"04",77,10,12,4.34380542185368,122,18,2.39977842188592,16.6911746716432
"Arizona",2020-04-08,"04",80,3,13,4.38202663467388,122,18,2.62733742311379,14.1960826274679
"Arizona",2020-04-09,"04",89,9,14,4.48863636973214,122,18,2.8706500303227,11.9056596065037
"Arizona",2020-04-10,"04",97,8,15,4.57471097850338,122,18,3.16753623891727,9.464634938863
