"State","Date","fips","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"Alabama",2020-03-30,"01",11,6,1,2.39789527279837,522,52,NA,NA
"Alabama",2020-03-31,"01",13,2,2,2.56494935746154,522,52,NA,NA
"Alabama",2020-04-01,"01",28,15,3,3.3322045101752,522,52,NA,NA
"Alabama",2020-04-02,"01",32,4,4,3.46573590279973,522,52,NA,NA
"Alabama",2020-04-03,"01",38,6,5,3.63758615972639,522,52,NA,NA
"Alabama",2020-04-04,"01",44,6,6,3.78418963391826,522,52,NA,NA
"Alabama",2020-04-05,"01",45,1,7,3.80666248977032,522,52,2.2884370676099,24.8934423335017
"Alabama",2020-04-06,"01",53,8,8,3.97029191355212,522,52,2.5296247527397,19.5835619949305
"Alabama",2020-04-07,"01",64,11,9,4.15888308335967,522,52,2.95260251237835,13.0650859682219
"Alabama",2020-04-08,"01",67,3,10,4.20469261939097,522,52,2.99975725976253,12.3055938452648
"Alabama",2020-04-09,"01",78,11,11,4.35670882668959,522,52,3.03111794222265,11.9664091622299
"Alabama",2020-04-10,"01",80,2,12,4.38202663467388,522,52,3.08934933456861,11.1714442212295
"Alabama",2020-04-11,"01",93,13,13,4.53259949315326,522,52,3.05915708161202,11.4253792704366
"Alabama",2020-04-12,"01",93,0,14,4.53259949315326,522,52,3.27937939091009,9.32746276311964
"Alabama",2020-04-13,"01",104,11,15,4.64439089914137,522,52,3.42103106650885,8.17224236190484
"Alabama",2020-04-14,"01",114,10,16,4.7361984483945,522,52,3.40681990297398,8.28733746569119
"Alabama",2020-04-15,"01",123,9,17,4.81218435537242,522,52,3.47767749748655,7.80914864099223
"Alabama",2020-04-16,"01",137,14,18,4.91998092582813,522,52,3.37823027506188,8.48796983265106
"Alabama",2020-04-17,"01",151,14,19,5.01727983681492,522,52,3.3726920059421,8.55927625916352
"Alabama",2020-04-18,"01",147,-4,20,4.99043258677874,522,52,3.40929472892005,8.22521297734704
"Alabama",2020-04-19,"01",160,13,21,5.07517381523383,522,52,3.59557636976662,7.1639732374584
"Alabama",2020-04-20,"01",164,4,22,5.0998664278242,522,52,3.80511463302494,6.02655185343768
"Alabama",2020-04-21,"01",186,22,23,5.2257466737132,522,52,3.8355578477712,5.92268549083361
"Alabama",2020-04-22,"01",201,15,24,5.30330490805908,522,52,3.83300042874199,5.98692664833886
"Alabama",2020-04-23,"01",197,-4,25,5.28320372873799,522,52,3.90535964353015,5.62174706003304
"Alabama",2020-04-24,"01",209,12,26,5.34233425196481,522,52,3.81252048588623,5.98286893857655
"Alabama",2020-04-25,"01",213,4,27,5.36129216570943,522,52,4.04091934897795,5.0026705526172
"Alabama",2020-04-26,"01",219,6,28,5.3890717298165,522,52,4.23485263201512,4.20620083526821
"Alabama",2020-04-27,"01",228,9,29,5.42934562895444,522,52,4.53451084808435,3.07292480789284
"Alabama",2020-04-28,"01",242,14,30,5.48893772615669,522,52,4.50714742064303,3.19971333063372
"Alabama",2020-04-29,"01",262,20,31,5.5683445037611,522,52,4.19225008260204,4.34529548820749
"Alabama",2020-04-30,"01",272,10,32,5.605802066296,522,52,4.10405939082,4.65847898370391
"Alabama",2020-05-01,"01",289,17,33,5.66642668811243,522,52,3.90717816378521,5.31379683919528
"Alabama",2020-05-02,"01",288,-1,34,5.66296048013595,522,52,3.98036004646821,5.04533110504868
"Alabama",2020-05-03,"01",290,2,35,5.66988092298052,522,52,4.24997563161319,4.17047705138605
"Alabama",2020-05-04,"01",298,8,36,5.6970934865054,522,52,4.58009756771675,3.15963761901769
"Alabama",2020-05-05,"01",315,17,37,5.75257263882563,522,52,4.76342117179038,2.63829100171613
"Alabama",2020-05-06,"01",343,28,38,5.83773044716594,522,52,4.57116125556744,3.22217875144889
"Alabama",2020-05-07,"01",369,26,39,5.91079664404053,522,52,4.24419823550884,4.16193399174784
"Alabama",2020-05-08,"01",383,14,40,5.94803498918065,522,52,3.83005989387485,5.27747117826666
"Alabama",2020-05-09,"01",390,7,41,5.96614673912369,522,52,3.7239519296244,5.5318016392675
"Alabama",2020-05-10,"01",393,3,42,5.97380961186926,522,52,3.96458194990896,4.88428970965143
"Alabama",2020-05-11,"01",403,10,43,5.99893656194668,522,52,4.38886081337467,3.80928640661775
"Alabama",2020-05-12,"01",435,32,44,6.07534603108868,522,52,4.61900908845092,3.26750432238988
