"State","Date","fips","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"Arizona",2020-03-27,"04",15,14,1,2.70805020110221,117,17,NA,NA
"Arizona",2020-03-28,"04",15,14,2,2.70805020110221,117,17,NA,NA
"Arizona",2020-03-29,"04",18,17,3,2.89037175789616,117,17,NA,NA
"Arizona",2020-03-30,"04",20,18,4,2.99573227355399,117,17,NA,NA
"Arizona",2020-03-31,"04",24,22,5,3.17805383034795,117,17,NA,NA
"Arizona",2020-04-01,"04",29,27,6,3.36729582998647,117,17,NA,NA
"Arizona",2020-04-02,"04",35,33,7,3.55534806148941,117,17,2.46497646344235,14.8145246835069
"Arizona",2020-04-03,"04",41,39,8,3.71357206670431,117,17,2.35868883150699,16.8502920015188
"Arizona",2020-04-04,"04",53,50,9,3.97029191355212,117,17,2.29879490098792,18.0454795871785
"Arizona",2020-04-05,"04",64,60,10,4.15888308335967,117,17,2.20768837172047,19.3578744019401
"Arizona",2020-04-06,"04",67,63,11,4.20469261939097,117,17,2.28458113613637,18.135838306922
"Arizona",2020-04-07,"04",77,73,12,4.34380542185368,117,17,2.39977842188592,16.6911746716432
"Arizona",2020-04-08,"04",80,75,13,4.38202663467388,117,17,2.62733742311379,14.1960826274679
"Arizona",2020-04-09,"04",89,89,14,4.48863636973214,117,17,2.8706500303227,11.9056596065037
"Arizona",2020-04-10,"04",97,97,15,4.57471097850338,117,17,3.16753623891727,9.464634938863
"Arizona",2020-04-11,"04",112,112,16,4.71849887129509,117,17,3.21988287594325,9.15612510681986
"Arizona",2020-04-12,"04",117,117,17,4.76217393479776,117,17,3.18910595271178,9.33755424618822
"California",2020-03-16,"06",11,11,1,2.39789527279837,676,28,NA,NA
"California",2020-03-17,"06",14,14,2,2.63905732961526,676,28,NA,NA
"California",2020-03-18,"06",17,17,3,2.83321334405622,676,28,NA,NA
"California",2020-03-19,"06",19,19,4,2.94443897916644,676,28,NA,NA
"California",2020-03-20,"06",24,24,5,3.17805383034795,676,28,NA,NA
"California",2020-03-21,"06",28,28,6,3.3322045101752,676,28,NA,NA
"California",2020-03-22,"06",35,35,7,3.55534806148941,676,28,2.2395311591663,18.5839043338741
"California",2020-03-23,"06",39,39,8,3.66356164612965,676,28,2.28770611524389,17.5198139836369
"California",2020-03-24,"06",52,50,9,3.95124371858143,676,28,2.24337400814015,18.4629667451554
"California",2020-03-25,"06",67,65,10,4.20469261939097,676,28,2.13245316533783,20.2089208324821
"California",2020-03-26,"06",82,79,11,4.40671924726425,676,28,2.09115534011913,20.810243308116
"California",2020-03-27,"06",102,99,12,4.62497281328427,676,28,1.99483450635774,21.8649223362079
"California",2020-03-28,"06",121,116,13,4.79579054559674,676,28,1.99332362335022,21.7843761261216
"California",2020-03-29,"06",130,124,14,4.86753445045558,676,28,2.11156590331759,20.4331866460777
"California",2020-03-30,"06",146,139,15,4.98360662170834,676,28,2.48557557239346,17.185155963723
"California",2020-03-31,"06",183,175,16,5.20948615284142,676,28,2.67971032067233,15.752560665753
"California",2020-04-01,"06",212,202,17,5.35658627467201,676,28,2.78887752496436,15.0230137051756
"California",2020-04-02,"06",247,235,18,5.50938833662798,676,28,2.84420052936545,14.7028204663126
"California",2020-04-03,"06",282,270,19,5.64190707093811,676,28,2.79773592107284,14.9822750047592
"California",2020-04-04,"06",323,309,20,5.77765232322266,676,28,2.6960028933057,15.5244882162405
"California",2020-04-05,"06",349,333,21,5.85507192220243,676,28,2.88163971841631,14.4144608518244
"California",2020-04-06,"06",386,370,22,5.95583736946483,676,28,3.2372224321746,12.5153176125919
"California",2020-04-07,"06",447,429,23,6.10255859461357,676,28,3.35415750113258,11.9427852741525
"California",2020-04-08,"06",506,488,24,6.22653666928747,676,28,3.42879336508661,11.6104753270413
