"State","Date","fips","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"Arizona",2020-03-27,"04",15,7,1,2.70805020110221,112,16,NA,NA
"Arizona",2020-03-28,"04",15,0,2,2.70805020110221,112,16,NA,NA
"Arizona",2020-03-29,"04",18,3,3,2.89037175789616,112,16,NA,NA
"Arizona",2020-03-30,"04",20,2,4,2.99573227355399,112,16,NA,NA
"Arizona",2020-03-31,"04",24,4,5,3.17805383034795,112,16,NA,NA
"Arizona",2020-04-01,"04",29,5,6,3.36729582998647,112,16,NA,NA
"Arizona",2020-04-02,"04",35,6,7,3.55534806148941,112,16,2.46497646344235,14.8145246835069
"Arizona",2020-04-03,"04",41,6,8,3.71357206670431,112,16,2.35868883150699,16.8502920015188
"Arizona",2020-04-04,"04",53,12,9,3.97029191355212,112,16,2.29879490098792,18.0454795871785
"Arizona",2020-04-05,"04",64,11,10,4.15888308335967,112,16,2.20768837172047,19.3578744019401
"Arizona",2020-04-06,"04",67,3,11,4.20469261939097,112,16,2.28458113613637,18.135838306922
"Arizona",2020-04-07,"04",77,10,12,4.34380542185368,112,16,2.39977842188592,16.6911746716432
"Arizona",2020-04-08,"04",80,3,13,4.38202663467388,112,16,2.62733742311379,14.1960826274679
"Arizona",2020-04-09,"04",89,9,14,4.48863636973214,112,16,2.8706500303227,11.9056596065037
"Arizona",2020-04-10,"04",97,8,15,4.57471097850338,112,16,3.16753623891727,9.464634938863
"Arizona",2020-04-11,"04",112,15,16,4.71849887129509,112,16,3.21988287594325,9.15612510681986
"California",2020-03-16,"06",11,5,1,2.39789527279837,632,27,NA,NA
"California",2020-03-17,"06",14,3,2,2.63905732961526,632,27,NA,NA
"California",2020-03-18,"06",17,3,3,2.83321334405622,632,27,NA,NA
"California",2020-03-19,"06",19,2,4,2.94443897916644,632,27,NA,NA
"California",2020-03-20,"06",24,5,5,3.17805383034795,632,27,NA,NA
"California",2020-03-21,"06",28,4,6,3.3322045101752,632,27,NA,NA
"California",2020-03-22,"06",35,7,7,3.55534806148941,632,27,2.2395311591663,18.5839043338741
"California",2020-03-23,"06",39,4,8,3.66356164612965,632,27,2.28770611524389,17.5198139836369
"California",2020-03-24,"06",52,13,9,3.95124371858143,632,27,2.24337400814015,18.4629667451554
"California",2020-03-25,"06",67,15,10,4.20469261939097,632,27,2.13245316533783,20.2089208324821
"California",2020-03-26,"06",82,15,11,4.40671924726425,632,27,2.09115534011913,20.810243308116
"California",2020-03-27,"06",102,20,12,4.62497281328427,632,27,1.99483450635774,21.8649223362079
"California",2020-03-28,"06",121,19,13,4.79579054559674,632,27,1.99332362335022,21.7843761261216
