"Country","Date","fips","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"California",2020-03-16,"06",11,5,1,2.39789527279837,349,21,NA,NA
"California",2020-03-17,"06",14,3,2,2.63905732961526,349,21,NA,NA
"California",2020-03-18,"06",17,3,3,2.83321334405622,349,21,NA,NA
"California",2020-03-19,"06",19,2,4,2.94443897916644,349,21,NA,NA
"California",2020-03-20,"06",24,5,5,3.17805383034795,349,21,NA,NA
"California",2020-03-21,"06",28,4,6,3.3322045101752,349,21,NA,NA
"California",2020-03-22,"06",35,7,7,3.55534806148941,349,21,2.2395311591663,18.5839043338741
"California",2020-03-23,"06",39,4,8,3.66356164612965,349,21,2.28770611524389,17.5198139836369
"California",2020-03-24,"06",52,13,9,3.95124371858143,349,21,2.24337400814015,18.4629667451554
"California",2020-03-25,"06",67,15,10,4.20469261939097,349,21,2.13245316533783,20.2089208324821
"California",2020-03-26,"06",82,15,11,4.40671924726425,349,21,2.09115534011913,20.810243308116
"California",2020-03-27,"06",102,20,12,4.62497281328427,349,21,1.99483450635774,21.8649223362079
"California",2020-03-28,"06",121,19,13,4.79579054559674,349,21,1.99332362335022,21.7843761261216
"California",2020-03-29,"06",130,9,14,4.86753445045558,349,21,2.11156590331759,20.4331866460777
"California",2020-03-30,"06",146,16,15,4.98360662170834,349,21,2.48557557239346,17.185155963723
"California",2020-03-31,"06",183,37,16,5.20948615284142,349,21,2.67971032067233,15.752560665753
"California",2020-04-01,"06",212,29,17,5.35658627467201,349,21,2.78887752496436,15.0230137051756
"California",2020-04-02,"06",243,31,18,5.49306144334055,349,21,2.8681077659649,14.5278894668044
"California",2020-04-03,"06",282,39,19,5.64190707093811,349,21,2.81406281436027,14.8656543384204
"California",2020-04-04,"06",323,41,20,5.77765232322266,349,21,2.70358323661772,15.4661778830711
"California",2020-04-05,"06",349,26,21,5.85507192220243,349,21,2.87930730508953,14.4144608518244
"Colorado",2020-03-24,"08",11,1,1,2.39789527279837,140,13,NA,NA
"Colorado",2020-03-25,"08",19,8,2,2.94443897916644,140,13,NA,NA
"Colorado",2020-03-26,"08",24,5,3,3.17805383034795,140,13,NA,NA
"Colorado",2020-03-27,"08",31,7,4,3.43398720448515,140,13,NA,NA
"Colorado",2020-03-28,"08",44,13,5,3.78418963391826,140,13,NA,NA
"Colorado",2020-03-29,"08",47,3,6,3.85014760171006,140,13,NA,NA
"Colorado",2020-03-30,"08",51,4,7,3.93182563272433,140,13,2.35731343238787,25.0690861729837
"Colorado",2020-03-31,"08",69,18,8,4.23410650459726,140,13,2.58798088058739,20.6882377795362
"Colorado",2020-04-01,"08",80,11,9,4.38202663467388,140,13,2.67923536063496,19.1421179000289
"Colorado",2020-04-02,"08",96,16,10,4.56434819146784,140,13,2.78312551988862,17.7525566619518
"Colorado",2020-04-03,"08",110,14,11,4.70048036579242,140,13,2.88459654438698,16.5266942038842
"Colorado",2020-04-04,"08",126,16,12,4.83628190695148,140,13,2.80583145475321,17.2355502454679
"Colorado",2020-04-05,"08",140,14,13,4.9416424226093,140,13,2.88715348501596,16.258053233864
"Connecticut",2020-03-24,"09",12,2,1,2.484906649788,189,13,NA,NA
"Connecticut",2020-03-25,"09",19,7,2,2.94443897916644,189,13,NA,NA
"Connecticut",2020-03-26,"09",21,2,3,3.04452243772342,189,13,NA,NA
"Connecticut",2020-03-27,"09",27,6,4,3.29583686600433,189,13,NA,NA
"Connecticut",2020-03-28,"09",33,6,5,3.49650756146648,189,13,NA,NA
"Connecticut",2020-03-29,"09",34,1,6,3.52636052461616,189,13,NA,NA
"Connecticut",2020-03-30,"09",36,2,7,3.58351893845611,189,13,2.49491812522487,17.5416610023101
"Connecticut",2020-03-31,"09",69,33,8,4.23410650459726,189,13,2.52191325236687,18.4911401298917
"Connecticut",2020-04-01,"09",85,16,9,4.44265125649032,189,13,2.34094263194855,21.9926325374149
"Connecticut",2020-04-02,"09",112,27,10,4.71849887129509,189,13,2.18263522822841,24.5286406639324
"Connecticut",2020-04-03,"09",132,20,11,4.88280192258637,189,13,2.01140877000062,26.4367574812562
"Connecticut",2020-04-04,"09",165,33,12,5.10594547390058,189,13,1.84214697580225,27.9346899386129
"Connecticut",2020-04-05,"09",189,24,13,5.24174701505964,189,13,2.04471255658602,25.5661172661189
"Florida",2020-03-21,"12",11,2,1,2.39789527279837,220,16,NA,NA
