"CountryCode","geoId","Country","Date","Deaths","Deaths_daily","time","Deaths_log","Deaths_sum","n","coef.intercept","Exp_rate"
"DZA","DZ","Algeria","2020-03-20",11,2,1,2.39789527279837,130,16,NA,NA
"DZA","DZ","Algeria","2020-03-21",15,4,2,2.70805020110221,130,16,NA,NA
"DZA","DZ","Algeria","2020-03-22",17,2,3,2.83321334405622,130,16,NA,NA
"DZA","DZ","Algeria","2020-03-23",17,0,4,2.83321334405622,130,16,NA,NA
"DZA","DZ","Algeria","2020-03-24",19,2,5,2.94443897916644,130,16,NA,NA
"DZA","DZ","Algeria","2020-03-25",21,2,6,3.04452243772342,130,16,NA,NA
"DZA","DZ","Algeria","2020-03-26",25,4,7,3.2188758248682,130,16,2.39044251988699,0.115968277305791
"DZA","DZ","Algeria","2020-03-27",26,1,8,3.25809653802148,130,16,2.50706347663328,0.0940276095017497
"DZA","DZ","Algeria","2020-03-28",29,3,9,3.36729582998647,130,16,2.48714003724912,0.0973732389793953
"DZA","DZ","Algeria","2020-03-29",31,2,10,3.43398720448515,130,16,2.4418019625234,0.102200335115176
"DZA","DZ","Algeria","2020-03-30",35,4,11,3.55534806148941,130,16,2.47177304350276,0.0985741709146659
"DZA","DZ","Algeria","2020-03-31",44,9,12,3.78418963391826,130,16,2.39424041311979,0.10956559743895
"DZA","DZ","Algeria","2020-04-01",58,14,13,4.06044301054642,130,16,2.18084087892678,0.134462142154684
"DZA","DZ","Algeria","2020-04-02",86,28,14,4.45434729625351,130,16,1.60989609218082,0.190187466616038
"DZA","DZ","Algeria","2020-04-03",105,19,15,4.65396035015752,130,16,1.15602075821659,0.228778881896674
"DZA","DZ","Algeria","2020-04-04",130,25,16,4.86753445045558,130,16,0.787676011451688,0.256000856342242
"AUT","AT","Austria","2020-03-22",16,8,1,2.77258872223978,186,14,NA,NA
"AUT","AT","Austria","2020-03-23",21,5,2,3.04452243772342,186,14,NA,NA
"AUT","AT","Austria","2020-03-24",28,7,3,3.3322045101752,186,14,NA,NA
"AUT","AT","Austria","2020-03-25",30,2,4,3.40119738166216,186,14,NA,NA
"AUT","AT","Austria","2020-03-26",49,19,5,3.89182029811063,186,14,NA,NA
"AUT","AT","Austria","2020-03-27",58,9,6,4.06044301054642,186,14,NA,NA
"AUT","AT","Austria","2020-03-28",68,10,7,4.21950770517611,186,14,2.54143859760619,0.247579067228228
"AUT","AT","Austria","2020-03-29",86,18,8,4.45434729625351,186,14,2.58212634236458,0.237975949802726
"AUT","AT","Austria","2020-03-30",108,22,9,4.68213122712422,186,14,2.61657147834363,0.231563120967687
"AUT","AT","Austria","2020-03-31",128,20,10,4.85203026391962,186,14,2.64131197134371,0.225965171089524
"AUT","AT","Austria","2020-04-01",146,18,11,4.98360662170834,186,14,2.92879606055194,0.190041321410273
"AUT","AT","Austria","2020-04-02",158,12,12,5.06259503302697,186,14,3.03098617205253,0.176154888149008
"AUT","AT","Austria","2020-04-03",168,10,13,5.12396397940326,186,14,3.2571189856544,0.151119274671875
"AUT","AT","Austria","2020-04-04",186,18,14,5.2257466737132,186,14,3.5730347112181,0.121729585930161
"BEL","BE","Belgium","2020-03-18",14,4,1,2.63905732961526,1283,18,NA,NA
"BEL","BE","Belgium","2020-03-19",21,7,2,3.04452243772342,1283,18,NA,NA
"BEL","BE","Belgium","2020-03-20",37,16,3,3.61091791264422,1283,18,NA,NA
"BEL","BE","Belgium","2020-03-21",67,30,4,4.20469261939097,1283,18,NA,NA
"BEL","BE","Belgium","2020-03-22",75,8,5,4.31748811353631,1283,18,NA,NA
"BEL","BE","Belgium","2020-03-23",88,13,6,4.47733681447821,1283,18,NA,NA
"BEL","BE","Belgium","2020-03-24",122,34,7,4.80402104473326,1283,18,2.432992310338,0.359538932134131
"BEL","BE","Belgium","2020-03-25",178,56,8,5.18178355029209,1283,18,2.61463860665491,0.323951207034689
"BEL","BE","Belgium","2020-03-26",220,42,9,5.39362754635236,1283,18,2.90094315146314,0.278172989075843
"BEL","BE","Belgium","2020-03-27",289,69,10,5.66642668811243,1283,18,3.05314324479678,0.258640278843228
"BEL","BE","Belgium","2020-03-28",353,64,11,5.8664680569333,1283,18,2.92538566518299,0.271954502824233
"BEL","BE","Belgium","2020-03-29",431,78,12,6.06610809010375,1283,18,2.98001529507671,0.263423249610609
"BEL","BE","Belgium","2020-03-30",513,82,13,6.24027584517077,1283,18,3.26329654898656,0.233937642554172
"BEL","BE","Belgium","2020-03-31",705,192,14,6.55819780281227,1283,18,3.40882578535829,0.222222169899596
"BEL","BE","Belgium","2020-04-01",828,123,15,6.71901315438526,1283,18,3.44422809409466,0.21905381577628
"BEL","BE","Belgium","2020-04-02",1011,183,16,6.91869521902047,1283,18,3.52639028292063,0.212642339297735
"BEL","BE","Belgium","2020-04-03",1143,132,17,7.04141166379481,1283,18,3.63279592507242,0.20388365670116
"BEL","BE","Belgium","2020-04-04",1283,140,18,7.15695636461564,1283,18,3.86689015731187,0.186975495606856
"BRA","BR","Brazil","2020-03-20",11,5,1,2.39789527279837,445,16,NA,NA
"BRA","BR","Brazil","2020-03-21",15,4,2,2.70805020110221,445,16,NA,NA
"BRA","BR","Brazil","2020-03-22",25,10,3,3.2188758248682,445,16,NA,NA
"BRA","BR","Brazil","2020-03-23",34,9,4,3.52636052461616,445,16,NA,NA
"BRA","BR","Brazil","2020-03-24",46,12,5,3.8286413964891,445,16,NA,NA
"BRA","BR","Brazil","2020-03-25",59,13,6,4.07753744390572,445,16,NA,NA
"BRA","BR","Brazil","2020-03-26",77,18,7,4.34380542185368,445,16,2.13067079731994,0.328088232299781
"BRA","BR","Brazil","2020-03-27",92,15,8,4.52178857704904,445,16,2.27460647692969,0.294366115753608
"BRA","BR","Brazil","2020-03-28",111,19,9,4.70953020131233,445,16,2.5370806429643,0.249213687841527
"BRA","BR","Brazil","2020-03-29",136,25,10,4.91265488573605,445,16,2.68310325074293,0.227318279505339
"BRA","BR","Brazil","2020-03-30",159,23,11,5.06890420222023,445,16,2.84990942399153,0.205598145725455
"BRA","BR","Brazil","2020-03-31",201,42,12,5.30330490805908,445,16,2.93160022155796,0.197084509352863
"BRA","BR","Brazil","2020-04-01",240,39,13,5.48063892334199,445,16,3.00119417158431,0.190460970264032
"BRA","BR","Brazil","2020-04-02",324,84,14,5.78074351579233,445,16,2.86797163376106,0.203919010093293
"BRA","BR","Brazil","2020-04-03",359,35,15,5.88332238848828,445,16,2.87589048523769,0.202474590812934
"BRA","BR","Brazil","2020-04-04",445,86,16,6.09807428216624,445,16,2.87491575781921,0.202233327484283
"CAN","CA","Canada","2020-03-20",12,3,1,2.484906649788,218,16,NA,NA
"CAN","CA","Canada","2020-03-21",19,7,2,2.94443897916644,218,16,NA,NA
"CAN","CA","Canada","2020-03-22",21,2,3,3.04452243772342,218,16,NA,NA
"CAN","CA","Canada","2020-03-23",25,4,4,3.2188758248682,218,16,NA,NA
"CAN","CA","Canada","2020-03-24",26,1,5,3.25809653802148,218,16,NA,NA
"CAN","CA","Canada","2020-03-25",30,4,6,3.40119738166216,218,16,NA,NA
"CAN","CA","Canada","2020-03-26",38,8,7,3.63758615972639,218,16,2.48635636226449,0.163754622682309
"CAN","CA","Canada","2020-03-27",54,16,8,3.98898404656427,218,16,2.5522994448558,0.160788721535478
"CAN","CA","Canada","2020-03-28",61,7,9,4.11087386417331,218,16,2.42599939086702,0.182812869444526
"CAN","CA","Canada","2020-03-29",64,3,10,4.15888308335967,218,16,2.40373021231216,0.182620110452864
"CAN","CA","Canada","2020-03-30",80,16,11,4.38202663467388,218,16,2.31667841608326,0.19144462134997
"CAN","CA","Canada","2020-03-31",101,21,12,4.61512051684126,218,16,2.33834793635551,0.189305335436704
"CAN","CA","Canada","2020-04-01",109,8,13,4.69134788222914,218,16,2.55329214159441,0.167311102805815
"CAN","CA","Canada","2020-04-02",139,30,14,4.93447393313069,218,16,2.66202262220255,0.159059111760447
"CAN","CA","Canada","2020-04-03",179,40,15,5.18738580584075,218,16,2.40142791484998,0.181787099003558
"CAN","CA","Canada","2020-04-04",218,39,16,5.38449506278909,218,16,2.16161184341462,0.200246703461123
"CHN","CN","China","2020-01-22",17,17,1,2.83321334405622,3330,74,NA,NA
"CHN","CN","China","2020-01-23",18,1,2,2.89037175789616,3330,74,NA,NA
"CHN","CN","China","2020-01-24",26,8,3,3.25809653802148,3330,74,NA,NA
"CHN","CN","China","2020-01-25",42,16,4,3.73766961828337,3330,74,NA,NA
"CHN","CN","China","2020-01-26",56,14,5,4.02535169073515,3330,74,NA,NA
"CHN","CN","China","2020-01-27",82,26,6,4.40671924726425,3330,74,NA,NA
"CHN","CN","China","2020-01-28",131,49,7,4.87519732320115,3330,74,2.30010249293902,0.354496502460166
"CHN","CN","China","2020-01-29",133,2,8,4.89034912822175,3330,74,2.24353945224672,0.353685118225607
"CHN","CN","China","2020-01-30",171,38,9,5.14166355650266,3330,74,2.44659836293576,0.31449663242094
"CHN","CN","China","2020-01-31",213,42,10,5.36129216570943,3330,74,2.73725436200987,0.27096861624181
"CHN","CN","China","2020-02-01",259,46,11,5.55682806169954,3330,74,2.95961697245198,0.241787185110179
"CHN","CN","China","2020-02-02",361,102,12,5.88887795833288,3330,74,3.14134228337549,0.224310023131798
"CHN","CN","China","2020-02-03",425,64,13,6.05208916892442,3330,74,3.27272187230278,0.212246346521033
"CHN","CN","China","2020-02-04",491,66,14,6.19644412779452,3330,74,3.12200837466795,0.223811500578046
"CHN","CN","China","2020-02-05",563,72,15,6.33327962813969,3330,74,3.32989070402638,0.205014758796649
"CHN","CN","China","2020-02-06",633,70,16,6.45047042214418,3330,74,3.59618118569921,0.183143002558793
"CHN","CN","China","2020-02-07",718,85,17,6.57646956904822,3330,74,3.9189870364271,0.159403568174426
